DatasetName,NumClusters,metric,baseline,compare_suite,Double_Time,Hybrid_Time,Rel_Time,Improvement_%,n_pairs,Single_Time,Double_Inertia,Hybrid_Inertia,Rel_Inertia,Single_Inertia,Double_Memory_MB,Hybrid_Memory_MB,Rel_Memory_MB,Single_Memory_MB
SYNTH_C_30_F_50_n1000_000k_kmeans,100,Time,Double,Hybrid,90.6641879422324,72.4577796470008,0.7991885361965411,20.081146380345892,7,,,,,,,,,
SYNTH_C_30_F_50_n1000_000k_kmeans,100,Time,Single,Hybrid,,72.4577796470008,1.3034591178226809,-30.345911782268097,7,55.58883946282523,,,,,,,,
SYNTH_C_30_F_50_n1000_000k_kmeans,100,Inertia,Double,Hybrid,,,,-1.208459861774501,7,,48828903.40836348,49418981.10699819,1.012084598617745,,,,,
SYNTH_C_30_F_50_n1000_000k_kmeans,100,Inertia,Single,Hybrid,,,,-17.721631227412562,7,,,49418981.10699819,1.1772163122741257,41979524.571428575,,,,
SYNTH_C_30_F_50_n1000_000k_kmeans,100,Memory_MB,Double,Hybrid,,,,-50.0,7,,,,,,400.0,600.0,1.5,
SYNTH_C_30_F_50_n1000_000k_kmeans,100,Memory_MB,Single,Hybrid,,,,-200.0,7,,,,,,,600.0,3.0,200.0
SYNTH_C_5_F_50_n1000_000k_kmeans,100,Time,Double,Hybrid,86.74170347622463,70.21993013098836,0.8095290652233411,19.047093477665893,7,,,,,,,,,
SYNTH_C_5_F_50_n1000_000k_kmeans,100,Time,Single,Hybrid,,70.21993013098836,1.3218914124295342,-32.18914124295342,7,53.1208005973271,,,,,,,,
SYNTH_C_5_F_50_n1000_000k_kmeans,100,Inertia,Double,Hybrid,,,,-4.4425898224730584,7,,46187460.30552216,48239379.71631407,1.0444258982247305,,,,,
SYNTH_C_5_F_50_n1000_000k_kmeans,100,Inertia,Single,Hybrid,,,,-21.227810395758198,7,,,48239379.71631407,1.212278103957582,39792337.71428572,,,,
SYNTH_C_5_F_50_n1000_000k_kmeans,100,Memory_MB,Double,Hybrid,,,,-50.0,7,,,,,,400.0,600.0,1.5,
SYNTH_C_5_F_50_n1000_000k_kmeans,100,Memory_MB,Single,Hybrid,,,,-200.0,7,,,,,,,600.0,3.0,200.0
SYNTH_C_80_F_120_n1000_000k_kmeans,100,Time,Double,Hybrid,204.85888365336828,169.83547197503503,0.8290364027483688,17.09635972516313,7,,,,,,,,,
SYNTH_C_80_F_120_n1000_000k_kmeans,100,Time,Single,Hybrid,,169.83547197503503,1.3105382692230465,-31.05382692230465,7,129.59215000697546,,,,,,,,
SYNTH_C_80_F_120_n1000_000k_kmeans,100,Inertia,Double,Hybrid,,,,-1.1441706975983466,7,,444374937.7642743,449459345.589644,1.0114417069759836,,,,,
SYNTH_C_80_F_120_n1000_000k_kmeans,100,Inertia,Single,Hybrid,,,,-29.707611203324696,7,,,449459345.589644,1.297076112033247,346517325.71428573,,,,
SYNTH_C_80_F_120_n1000_000k_kmeans,100,Memory_MB,Double,Hybrid,,,,-50.0,7,,,,,,960.0,1440.0,1.5,
SYNTH_C_80_F_120_n1000_000k_kmeans,100,Memory_MB,Single,Hybrid,,,,-200.0,7,,,,,,,1440.0,3.0,480.0
