DatasetName,NumClusters,metric,baseline,compare_suite,Double_Time,Hybrid_Time,Rel_Time,Improvement_%,n_pairs,Single_Time,Double_Inertia,Hybrid_Inertia,Rel_Inertia,Single_Inertia,Double_Memory_MB,Hybrid_Memory_MB,Rel_Memory_MB,Single_Memory_MB
SYNTH_C_30_F_50_n1000_000k_kmeans,100,Time,Double,Hybrid,288.39841301100597,242.51435652188957,0.8409004543053247,15.909954569467535,7,,,,,,,,,
SYNTH_C_30_F_50_n1000_000k_kmeans,100,Time,Single,Hybrid,,242.51435652188957,2.853966919494521,-185.39669194945213,7,84.9744805608477,,,,,,,,
SYNTH_C_30_F_50_n1000_000k_kmeans,100,Inertia,Double,Hybrid,,,,-7.565849144170373,7,,48826569.20259518,52520713.770737484,1.0756584914417038,,,,,
SYNTH_C_30_F_50_n1000_000k_kmeans,100,Inertia,Single,Hybrid,,,,10.240867912437409,7,,,52520713.770737484,0.8975913208756259,58512947.428571425,,,,
SYNTH_C_30_F_50_n1000_000k_kmeans,100,Memory_MB,Double,Hybrid,,,,-50.0,7,,,,,,400.0,600.0,1.5,
SYNTH_C_30_F_50_n1000_000k_kmeans,100,Memory_MB,Single,Hybrid,,,,-200.0,7,,,,,,,600.0,3.0,200.0
SYNTH_C_5_F_50_n1000_000k_kmeans,100,Time,Double,Hybrid,283.60286205155506,233.38342542658626,0.8229233786228871,17.707662137711296,7,,,,,,,,,
SYNTH_C_5_F_50_n1000_000k_kmeans,100,Time,Single,Hybrid,,233.38342542658626,2.762394560902005,-176.23945609020052,7,84.48591259547642,,,,,,,,
SYNTH_C_5_F_50_n1000_000k_kmeans,100,Inertia,Double,Hybrid,,,,-17.629903470800727,7,,46180367.28106654,54321921.45517981,1.1762990347080073,,,,,
SYNTH_C_5_F_50_n1000_000k_kmeans,100,Inertia,Single,Hybrid,,,,-24.28321354869294,7,,,54321921.45517981,1.2428321354869294,43708172.571428575,,,,
SYNTH_C_5_F_50_n1000_000k_kmeans,100,Memory_MB,Double,Hybrid,,,,-50.0,7,,,,,,400.0,600.0,1.5,
SYNTH_C_5_F_50_n1000_000k_kmeans,100,Memory_MB,Single,Hybrid,,,,-200.0,7,,,,,,,600.0,3.0,200.0
SYNTH_C_80_F_120_n1000_000k_kmeans,100,Time,Double,Hybrid,472.8007696015494,405.2702909483009,0.8571692708745811,14.283072912541893,7,,,,,,,,,
SYNTH_C_80_F_120_n1000_000k_kmeans,100,Time,Single,Hybrid,,405.2702909483009,2.5150172846658507,-151.5017284665851,7,161.14016130992346,,,,,,,,
SYNTH_C_80_F_120_n1000_000k_kmeans,100,Inertia,Double,Hybrid,,,,2.3058378284952162e-05,7,,444374558.21427214,444374455.7487055,0.9999997694162172,,,,,
SYNTH_C_80_F_120_n1000_000k_kmeans,100,Inertia,Single,Hybrid,,,,-28.046278265677117,7,,,444374455.7487055,1.2804627826567712,347042070.85714287,,,,
SYNTH_C_80_F_120_n1000_000k_kmeans,100,Memory_MB,Double,Hybrid,,,,-50.0,7,,,,,,960.0,1440.0,1.5,
SYNTH_C_80_F_120_n1000_000k_kmeans,100,Memory_MB,Single,Hybrid,,,,-200.0,7,,,,,,,1440.0,3.0,480.0
