DatasetName,NumClusters,metric,baseline,compare_suite,Double_Time,Hybrid_Time,Rel_Time,Improvement_%,n_pairs,Single_Time,Double_Inertia,Hybrid_Inertia,Rel_Inertia,Single_Inertia,Double_Memory_MB,Hybrid_Memory_MB,Rel_Memory_MB,Single_Memory_MB
SYNTH_C_30_F_50_n1000_000k_kmeans,100,Time,Double,Hybrid,93.63501715660097,81.36841352018527,0.8689955530642957,13.10044469357043,1,,,,,,,,,
SYNTH_C_30_F_50_n1000_000k_kmeans,100,Time,Single,Hybrid,,81.36841352018527,1.017669010548142,-1.7669010548142068,1,79.95567584037781,,,,,,,,
SYNTH_C_30_F_50_n1000_000k_kmeans,100,Inertia,Double,Hybrid,,,,0.0001483107379025769,1,,48828951.14986797,48828878.73129021,0.999998516892621,,,,,
SYNTH_C_30_F_50_n1000_000k_kmeans,100,Inertia,Single,Hybrid,,,,-16.316850687874553,1,,,48828878.73129021,1.1631685068787456,41979196.0,,,,
SYNTH_C_30_F_50_n1000_000k_kmeans,100,Memory_MB,Double,Hybrid,,,,-50.0,1,,,,,,400.0,600.0,1.5,
SYNTH_C_30_F_50_n1000_000k_kmeans,100,Memory_MB,Single,Hybrid,,,,-200.0,1,,,,,,,600.0,3.0,200.0
SYNTH_C_5_F_50_n1000_000k_kmeans,100,Time,Double,Hybrid,108.10531067848206,78.56609758546111,0.7267552083461094,27.324479165389064,1,,,,,,,,,
SYNTH_C_5_F_50_n1000_000k_kmeans,100,Time,Single,Hybrid,,78.56609758546111,1.3928402401392719,-39.284024013927194,1,56.40711355209351,,,,,,,,
SYNTH_C_5_F_50_n1000_000k_kmeans,100,Inertia,Double,Hybrid,,,,-0.0014286226741249991,1,,46186703.4240858,46187363.25780335,1.0000142862267412,,,,,
SYNTH_C_5_F_50_n1000_000k_kmeans,100,Inertia,Single,Hybrid,,,,-16.0650754845594,1,,,46187363.25780335,1.160650754845594,39794368.0,,,,
SYNTH_C_5_F_50_n1000_000k_kmeans,100,Memory_MB,Double,Hybrid,,,,-50.0,1,,,,,,400.0,600.0,1.5,
SYNTH_C_5_F_50_n1000_000k_kmeans,100,Memory_MB,Single,Hybrid,,,,-200.0,1,,,,,,,600.0,3.0,200.0
SYNTH_C_80_F_120_n1000_000k_kmeans,100,Time,Double,Hybrid,219.01339745521545,180.66175295102875,0.824889048113922,17.511095188607797,1,,,,,,,,,
SYNTH_C_80_F_120_n1000_000k_kmeans,100,Time,Single,Hybrid,,180.66175295102875,1.3951939271520966,-39.51939271520965,1,129.48863196372986,,,,,,,,
SYNTH_C_80_F_120_n1000_000k_kmeans,100,Inertia,Double,Hybrid,,,,-5.771510809824239e-05,1,,444374680.351394,444374936.8227211,1.000000577151081,,,,,
SYNTH_C_80_F_120_n1000_000k_kmeans,100,Inertia,Single,Hybrid,,,,-28.239865946205338,1,,,444374936.8227211,1.2823986594620533,346518560.0,,,,
SYNTH_C_80_F_120_n1000_000k_kmeans,100,Memory_MB,Double,Hybrid,,,,-50.0,1,,,,,,960.0,1440.0,1.5,
SYNTH_C_80_F_120_n1000_000k_kmeans,100,Memory_MB,Single,Hybrid,,,,-200.0,1,,,,,,,1440.0,3.0,480.0
