dataset,repeat,approach,penalty,alpha,lambda,solver,max_iter,max_iter_single,tol,time_sec,iters_single,iters_double,roc_auc,pr_auc,logloss
blobs,0,single(f32),l2,0.0,0.01,lbfgs,10000,50,0.01,0.4158006140496582,1,,1.0,1.0,1.8499387546347965e-12
blobs,0,double(f64),l2,0.0,0.01,lbfgs,10000,50,0.01,0.48132590600289404,0,1.0,1.0,1.0,1.849937081750743e-12
blobs,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,50,0.01,0.8425278328359127,1,0.0,1.0,1.0,1.8499387546347965e-12
blobs,0,single(f32),l2,0.0,0.01,lbfgs,10000,100,0.01,0.41904782806523144,1,,1.0,1.0,1.8499387546347965e-12
blobs,0,double(f64),l2,0.0,0.01,lbfgs,10000,100,0.01,0.45958305709064007,0,1.0,1.0,1.0,1.849937081750743e-12
blobs,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,100,0.01,0.7928089760243893,1,0.0,1.0,1.0,1.8499387546347965e-12
blobs,0,single(f32),l2,0.0,0.01,lbfgs,10000,250,0.01,0.4256160620134324,1,,1.0,1.0,1.8499387546347965e-12
blobs,0,double(f64),l2,0.0,0.01,lbfgs,10000,250,0.01,0.45140406815335155,0,1.0,1.0,1.0,1.849937081750743e-12
blobs,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,250,0.01,0.7832169011235237,1,0.0,1.0,1.0,1.8499387546347965e-12
blobs,0,single(f32),l2,0.0,0.01,lbfgs,10000,500,0.01,0.40812371601350605,1,,1.0,1.0,1.8499387546347965e-12
blobs,0,double(f64),l2,0.0,0.01,lbfgs,10000,500,0.01,0.43535271706059575,0,1.0,1.0,1.0,1.849937081750743e-12
blobs,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,500,0.01,0.7825975760351866,1,0.0,1.0,1.0,1.8499387546347965e-12
blobs,0,single(f32),l2,0.0,0.01,lbfgs,10000,1000,0.01,0.40007064398378134,1,,1.0,1.0,1.8499387546347965e-12
blobs,0,double(f64),l2,0.0,0.01,lbfgs,10000,1000,0.01,0.43713279510848224,0,1.0,1.0,1.0,1.849937081750743e-12
blobs,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,1000,0.01,0.772710852092132,1,0.0,1.0,1.0,1.8499387546347965e-12
blobs,0,single(f32),l2,0.0,0.01,lbfgs,10000,3000,0.01,0.3964032588992268,1,,1.0,1.0,1.8499387546347965e-12
blobs,0,double(f64),l2,0.0,0.01,lbfgs,10000,3000,0.01,0.42828270699828863,0,1.0,1.0,1.0,1.849937081750743e-12
blobs,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,3000,0.01,0.7598306760191917,1,0.0,1.0,1.0,1.8499387546347965e-12
blobs,0,single(f32),l2,0.0,0.01,lbfgs,10000,5000,0.01,0.3872463060542941,1,,1.0,1.0,1.8499387546347965e-12
blobs,0,double(f64),l2,0.0,0.01,lbfgs,10000,5000,0.01,0.41824319306761026,0,1.0,1.0,1.0,1.849937081750743e-12
blobs,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,5000,0.01,0.7637372589670122,1,0.0,1.0,1.0,1.8499387546347965e-12
