DatasetName,DatasetSize,NumFeatures,Mode,Cap,tolerance_single,iter_single,iter_double,Suite,Time,Memory_MB,R2,MSE
EN_SYNTH_n100k_d200_s10,100000,200,Double,1,1e-16,0,50,ENet_ExpA,2.5410083559982013,160.0,0.9542600264969281,0.9996774461822533
EN_SYNTH_n100k_d200_s10,100000,200,Hybrid,1,1e-16,1,50,ENet_ExpA,2.659497692999139,160.0,0.9542600264969281,0.9996774461822533
EN_SYNTH_n100k_d200_s10,100000,200,Double,5,1e-16,0,50,ENet_ExpA,2.5410083559982013,160.0,0.9542600264969281,0.9996774461822533
EN_SYNTH_n100k_d200_s10,100000,200,Hybrid,5,1e-16,5,50,ENet_ExpA,2.7975863750034478,160.0,0.9542600264969281,0.9996774461822533
EN_SYNTH_n100k_d200_s10,100000,200,Double,10,1e-16,0,50,ENet_ExpA,2.5410083559982013,160.0,0.9542600264969281,0.9996774461822533
EN_SYNTH_n100k_d200_s10,100000,200,Hybrid,10,1e-16,10,50,ENet_ExpA,2.903151477999927,160.0,0.9542600264969281,0.9996774461822533
EN_SYNTH_n100k_d200_s10,100000,200,Double,20,1e-16,0,50,ENet_ExpA,2.5410083559982013,160.0,0.9542600264969281,0.9996774461822533
EN_SYNTH_n100k_d200_s10,100000,200,Hybrid,20,1e-16,20,50,ENet_ExpA,3.1196847799983516,160.0,0.9542600264969281,0.9996774461822533
EN_SYNTH_n100k_d200_s10,100000,200,Double,50,1e-16,0,50,ENet_ExpA,2.5410083559982013,160.0,0.9542600264969281,0.9996774461822533
EN_SYNTH_n100k_d200_s10,100000,200,Hybrid,50,1e-16,50,50,ENet_ExpA,3.7498922100021446,160.0,0.9542600264969281,0.9996774461822533
EN_SYNTH_n100k_d200_s10,100000,200,Double,100,1e-16,0,50,ENet_ExpA,2.5410083559982013,160.0,0.9542600264969281,0.9996774461822533
EN_SYNTH_n100k_d200_s10,100000,200,Hybrid,100,1e-16,100,50,ENet_ExpA,4.5702949080005055,160.0,0.9542600264969281,0.9996774461822533
EN_SYNTH_n100k_d200_s10,100000,200,Double,150,1e-16,0,50,ENet_ExpA,2.5410083559982013,160.0,0.9542600264969281,0.9996774461822533
EN_SYNTH_n100k_d200_s10,100000,200,Hybrid,150,1e-16,150,50,ENet_ExpA,5.139581857998564,160.0,0.9542600264969281,0.9996774461822533
EN_SYNTH_n100k_d200_s10,100000,200,Double,200,1e-16,0,50,ENet_ExpA,2.5410083559982013,160.0,0.9542600264969281,0.9996774461822533
EN_SYNTH_n100k_d200_s10,100000,200,Hybrid,200,1e-16,200,50,ENet_ExpA,5.588141970001743,160.0,0.9542600264969281,0.9996774461822533
EN_SYNTH_n100k_d200_s10,100000,200,Double,250,1e-16,0,50,ENet_ExpA,2.5410083559982013,160.0,0.9542600264969281,0.9996774461822533
EN_SYNTH_n100k_d200_s10,100000,200,Hybrid,250,1e-16,250,50,ENet_ExpA,6.0155649130028905,160.0,0.9542600264969281,0.9996774461822533
EN_SYNTH_n100k_d200_s10,100000,200,Double,300,1e-16,0,50,ENet_ExpA,2.5410083559982013,160.0,0.9542600264969281,0.9996774461822533
EN_SYNTH_n100k_d200_s10,100000,200,Hybrid,300,1e-16,300,1,ENet_ExpA,4.471482306998951,160.0,0.713928756965532,6.2522766796896665
EN_SYNTH_n200k_d400_s05,200000,400,Double,1,1e-16,0,89,ENet_ExpA,16.249558075000095,640.0,0.941306026526326,1.0002120145707472
EN_SYNTH_n200k_d400_s05,200000,400,Hybrid,1,1e-16,1,89,ENet_ExpA,17.222311957000784,640.0,0.941306026526326,1.0002120145707472
EN_SYNTH_n200k_d400_s05,200000,400,Double,5,1e-16,0,89,ENet_ExpA,16.249558075000095,640.0,0.941306026526326,1.0002120145707472
