DatasetName,DatasetSize,NumFeatures,Mode,tolerance_single,iter_single,iter_double,Suite,Time,Memory_MB,R2,MSE
EN_SYNTH_n100k_d200_s10,100000,200,Double,0.01,0,23,ENet_ExpB,1.3656220379998558,160.0,0.9542600264860267,0.9996774464205099
EN_SYNTH_n100k_d200_s10,100000,200,Hybrid,0.01,7,23,ENet_ExpB,1.7287247409985866,160.0,0.9542600264860267,0.9996774464205099
EN_SYNTH_n100k_d200_s10,100000,200,Double,0.005,0,23,ENet_ExpB,1.3656220379998558,160.0,0.9542600264860267,0.9996774464205099
EN_SYNTH_n100k_d200_s10,100000,200,Hybrid,0.005,8,23,ENet_ExpB,1.7499542179975833,160.0,0.9542600264860267,0.9996774464205099
EN_SYNTH_n100k_d200_s10,100000,200,Double,0.001,0,23,ENet_ExpB,1.3656220379998558,160.0,0.9542600264860267,0.9996774464205099
EN_SYNTH_n100k_d200_s10,100000,200,Hybrid,0.001,11,23,ENet_ExpB,1.816501610999694,160.0,0.9542600264860267,0.9996774464205099
EN_SYNTH_n100k_d200_s10,100000,200,Double,0.0005,0,23,ENet_ExpB,1.3656220379998558,160.0,0.9542600264860267,0.9996774464205099
EN_SYNTH_n100k_d200_s10,100000,200,Hybrid,0.0005,12,23,ENet_ExpB,1.865238472000783,160.0,0.9542600264860267,0.9996774464205099
EN_SYNTH_n100k_d200_s10,100000,200,Double,1e-05,0,23,ENet_ExpB,1.3656220379998558,160.0,0.9542600264860267,0.9996774464205099
EN_SYNTH_n100k_d200_s10,100000,200,Hybrid,1e-05,17,23,ENet_ExpB,2.012809862000722,160.0,0.9542600264860267,0.9996774464205099
EN_SYNTH_n100k_d200_s10,100000,200,Double,1e-06,0,23,ENet_ExpB,1.3656220379998558,160.0,0.9542600264860267,0.9996774464205099
EN_SYNTH_n100k_d200_s10,100000,200,Hybrid,1e-06,19,23,ENet_ExpB,2.0755847429973073,160.0,0.9542600264860267,0.9996774464205099
EN_SYNTH_n100k_d200_s10,100000,200,Double,1e-07,0,23,ENet_ExpB,1.3656220379998558,160.0,0.9542600264860267,0.9996774464205099
EN_SYNTH_n100k_d200_s10,100000,200,Hybrid,1e-07,22,23,ENet_ExpB,2.147245194999414,160.0,0.9542600264860267,0.9996774464205099
EN_SYNTH_n100k_d200_s10,100000,200,Double,1e-08,0,23,ENet_ExpB,1.3656220379998558,160.0,0.9542600264860267,0.9996774464205099
EN_SYNTH_n100k_d200_s10,100000,200,Hybrid,1e-08,26,23,ENet_ExpB,2.225139270998625,160.0,0.9542600264860267,0.9996774464205099
EN_SYNTH_n100k_d200_s10,100000,200,Double,1e-09,0,23,ENet_ExpB,1.3656220379998558,160.0,0.9542600264860267,0.9996774464205099
EN_SYNTH_n100k_d200_s10,100000,200,Hybrid,1e-09,54,23,ENet_ExpB,2.633859396002663,160.0,0.9542600264860267,0.9996774464205099
EN_SYNTH_n200k_d400_s05,200000,400,Double,0.01,0,31,ENet_ExpB,6.1361206360015785,640.0,0.9413060265508613,1.000212014152638
EN_SYNTH_n200k_d400_s05,200000,400,Hybrid,0.01,7,31,ENet_ExpB,7.60694390399658,640.0,0.9413060265508613,1.000212014152638
EN_SYNTH_n200k_d400_s05,200000,400,Double,0.005,0,31,ENet_ExpB,6.1361206360015785,640.0,0.9413060265508613,1.000212014152638
EN_SYNTH_n200k_d400_s05,200000,400,Hybrid,0.005,8,31,ENet_ExpB,7.74536516200169,640.0,0.9413060265508613,1.000212014152638
EN_SYNTH_n200k_d400_s05,200000,400,Double,0.001,0,31,ENet_ExpB,6.1361206360015785,640.0,0.9413060265508613,1.000212014152638
EN_SYNTH_n200k_d400_s05,200000,400,Hybrid,0.001,11,31,ENet_ExpB,7.976309444002254,640.0,0.9413060265508613,1.000212014152638
EN_SYNTH_n200k_d400_s05,200000,400,Double,0.0005,0,31,ENet_ExpB,6.1361206360015785,640.0,0.9413060265508613,1.000212014152638
EN_SYNTH_n200k_d400_s05,200000,400,Hybrid,0.0005,11,31,ENet_ExpB,8.072262556997885,640.0,0.9413060265508613,1.000212014152638
EN_SYNTH_n200k_d400_s05,200000,400,Double,1e-05,0,31,ENet_ExpB,6.1361206360015785,640.0,0.9413060265508613,1.000212014152638
EN_SYNTH_n200k_d400_s05,200000,400,Hybrid,1e-05,17,31,ENet_ExpB,8.839618318001158,640.0,0.9413060265508613,1.000212014152638
EN_SYNTH_n200k_d400_s05,200000,400,Double,1e-06,0,31,ENet_ExpB,6.1361206360015785,640.0,0.9413060265508613,1.000212014152638
EN_SYNTH_n200k_d400_s05,200000,400,Hybrid,1e-06,24,31,ENet_ExpB,9.360333072996582,640.0,0.9413060265508613,1.000212014152638
EN_SYNTH_n200k_d400_s05,200000,400,Double,1e-07,0,31,ENet_ExpB,6.1361206360015785,640.0,0.9413060265508613,1.000212014152638
EN_SYNTH_n200k_d400_s05,200000,400,Hybrid,1e-07,31,31,ENet_ExpB,9.741713371000515,640.0,0.9413060265508613,1.000212014152638
EN_SYNTH_n200k_d400_s05,200000,400,Double,1e-08,0,31,ENet_ExpB,6.1361206360015785,640.0,0.9413060265508613,1.000212014152638
EN_SYNTH_n200k_d400_s05,200000,400,Hybrid,1e-08,42,31,ENet_ExpB,11.053978807998647,640.0,0.9413060265508613,1.000212014152638
EN_SYNTH_n200k_d400_s05,200000,400,Double,1e-09,0,31,ENet_ExpB,6.1361206360015785,640.0,0.9413060265508613,1.000212014152638
EN_SYNTH_n200k_d400_s05,200000,400,Hybrid,1e-09,95,31,ENet_ExpB,14.008862716000294,640.0,0.9413060265508613,1.000212014152638
