dataset,repeat,approach,penalty,alpha,lambda,C,solver,max_iter,max_iter_single,tol_single,tol_double,double_budget_frac,time_sec,iters_single,iters_double,roc_auc,pr_auc,logloss
gaussian,0,single(f32),l1,1.0,0.0,,coord,500,50,0.0001,1e-06,0.1,0.056340698967687786,20,,0.9990715200000001,0.9990713789336108,0.5392514123701532
gaussian,0,double(f64),l1,1.0,0.0,,coord,500,50,0.0001,1e-06,0.1,0.0631684159161523,0,20.0,0.9990715200000001,0.9990713789336108,0.539251413961524
gaussian,0,hybrid(f32→f64),l1,1.0,0.0,,coord,500,50,0.0001,1e-06,0.1,0.06326842110138386,20,9.0,0.99907152,0.9990714023629776,0.5392532884600308
gaussian,0,single(f32),l1,1.0,0.0,,coord,500,100,0.0001,1e-06,0.1,0.06292645493522286,20,,0.9990715200000001,0.9990713789336108,0.5392514123701532
gaussian,0,double(f64),l1,1.0,0.0,,coord,500,100,0.0001,1e-06,0.1,0.055257384083233774,0,20.0,0.9990715200000001,0.9990713789336108,0.539251413961524
gaussian,0,hybrid(f32→f64),l1,1.0,0.0,,coord,500,100,0.0001,1e-06,0.1,0.0842536820564419,20,9.0,0.99907152,0.9990714023629776,0.5392532884600308
gaussian,0,single(f32),l1,1.0,0.0,,coord,500,150,0.0001,1e-06,0.1,0.0355960299493745,20,,0.9990715200000001,0.9990713789336108,0.5392514123701532
gaussian,0,double(f64),l1,1.0,0.0,,coord,500,150,0.0001,1e-06,0.1,0.03689591400325298,0,20.0,0.9990715200000001,0.9990713789336108,0.539251413961524
gaussian,0,hybrid(f32→f64),l1,1.0,0.0,,coord,500,150,0.0001,1e-06,0.1,0.05982649093493819,20,9.0,0.99907152,0.9990714023629776,0.5392532884600308
gaussian,0,single(f32),l1,1.0,0.0,,coord,500,200,0.0001,1e-06,0.1,0.03431091795209795,20,,0.9990715200000001,0.9990713789336108,0.5392514123701532
