DatasetName,DatasetSize,NumClusters,Mode,Cap,tolerance_single,iter_single,iter_double,Suite,Time,Memory_MB,Inertia
SYNTH_C_30_F_50_n1000_000k_kmeans,1000000,100,A,0,1e-16,300,0,Single,57.630717515945435,200.0,41979696.0
SYNTH_C_30_F_50_n1000_000k_kmeans,1000000,100,A,0,1e-16,0,300,Double,90.84525871276855,400.0,48828279.32597197
SYNTH_C_30_F_50_n1000_000k_kmeans,1000000,100,A,0,1e-16,0,300,Hybrid,88.52682424604427,600.0,48828618.70623384
SYNTH_C_30_F_50_n1000_000k_kmeans,1000000,100,A,50,1e-16,300,0,Single,54.591275453567505,200.0,41979796.0
SYNTH_C_30_F_50_n1000_000k_kmeans,1000000,100,A,50,1e-16,0,300,Double,90.45834684371948,400.0,48828626.935432926
SYNTH_C_30_F_50_n1000_000k_kmeans,1000000,100,A,50,1e-16,50,250,Hybrid,84.9734661889961,600.0,48829396.66962524
SYNTH_C_30_F_50_n1000_000k_kmeans,1000000,100,A,100,1e-16,300,0,Single,55.61791515350342,200.0,41980468.0
SYNTH_C_30_F_50_n1000_000k_kmeans,1000000,100,A,100,1e-16,0,300,Double,89.97838854789734,400.0,48828872.09662863
SYNTH_C_30_F_50_n1000_000k_kmeans,1000000,100,A,100,1e-16,100,200,Hybrid,78.25062070600688,600.0,48829031.9951436
SYNTH_C_30_F_50_n1000_000k_kmeans,1000000,100,A,150,1e-16,300,0,Single,54.32585906982422,200.0,41977300.0
SYNTH_C_30_F_50_n1000_000k_kmeans,1000000,100,A,150,1e-16,0,300,Double,86.21663522720337,400.0,48829042.966236204
SYNTH_C_30_F_50_n1000_000k_kmeans,1000000,100,A,150,1e-16,150,150,Hybrid,72.8828393840231,600.0,48829091.495947234
SYNTH_C_30_F_50_n1000_000k_kmeans,1000000,100,A,200,1e-16,300,0,Single,54.57331299781799,200.0,41980620.0
SYNTH_C_30_F_50_n1000_000k_kmeans,1000000,100,A,200,1e-16,0,300,Double,89.81525325775146,400.0,48828751.368067145
SYNTH_C_30_F_50_n1000_000k_kmeans,1000000,100,A,200,1e-16,200,100,Hybrid,66.07772211090196,600.0,48829894.06056342
SYNTH_C_30_F_50_n1000_000k_kmeans,1000000,100,A,250,1e-16,300,0,Single,53.85633587837219,200.0,41977736.0
SYNTH_C_30_F_50_n1000_000k_kmeans,1000000,100,A,250,1e-16,0,300,Double,86.35061597824097,400.0,48829596.32361857
SYNTH_C_30_F_50_n1000_000k_kmeans,1000000,100,A,250,1e-16,250,50,Hybrid,60.52042443305254,600.0,48829205.59264086
SYNTH_C_30_F_50_n1000_000k_kmeans,1000000,100,A,300,1e-16,300,0,Single,58.52646017074585,200.0,41981056.0
SYNTH_C_30_F_50_n1000_000k_kmeans,1000000,100,A,300,1e-16,0,300,Double,100.98481702804565,400.0,48829154.8425889
SYNTH_C_30_F_50_n1000_000k_kmeans,1000000,100,A,300,1e-16,300,1,Hybrid,55.97256045998074,600.0,52957629.22883312
SYNTH_C_5_F_50_n1000_000k_kmeans,1000000,100,A,0,1e-16,300,0,Single,52.712904930114746,200.0,39794964.0
SYNTH_C_5_F_50_n1000_000k_kmeans,1000000,100,A,0,1e-16,0,300,Double,84.58429789543152,400.0,46187788.77792994
SYNTH_C_5_F_50_n1000_000k_kmeans,1000000,100,A,0,1e-16,0,300,Hybrid,85.12016617693007,600.0,46188249.90805079
