,DatasetName,DatasetSize,NumClusters,Mode,Cap,tolerance_single,iter_single,iter_double,Suite,Time,Memory_MB,Inertia
0,SYNTH_C_5_F_5_n100k,100000,80,C,full,1e-16,0,300,Double,5.303694248199463,4.0,214499.93939021742
1,SYNTH_C_5_F_5_n100k,100000,80,C,0.0,1e-16,1,299,Hybrid,5.359333038330078,6.0,214379.85947490364
2,SYNTH_C_5_F_5_n100k,100000,80,C,0.1,1e-16,30,270,Hybrid,4.826750993728638,6.0,214390.21174361827
3,SYNTH_C_5_F_5_n100k,100000,80,C,0.2,1e-16,60,240,Hybrid,4.558062553405762,6.0,214436.63256933258
4,SYNTH_C_5_F_5_n100k,100000,80,C,0.4,1e-16,120,180,Hybrid,4.179808855056763,6.0,214564.44926810137
5,SYNTH_C_5_F_5_n100k,100000,80,C,0.6,1e-16,180,120,Hybrid,4.36219334602356,6.0,214370.78503448877
6,SYNTH_C_5_F_5_n100k,100000,80,C,0.8,1e-16,240,60,Hybrid,3.8995578289031982,6.0,214446.77801841882
7,SYNTH_C_80_F_5_n100k,100000,80,C,full,1e-16,0,300,Double,5.08458399772644,4.0,738854.8676730025
8,SYNTH_C_80_F_5_n100k,100000,80,C,0.0,1e-16,1,299,Hybrid,5.242225646972656,6.0,738767.5391959022
9,SYNTH_C_80_F_5_n100k,100000,80,C,0.1,1e-16,30,270,Hybrid,5.2455456256866455,6.0,738767.5784548338
10,SYNTH_C_80_F_5_n100k,100000,80,C,0.2,1e-16,60,240,Hybrid,5.105631351470947,6.0,738780.3153176901
11,SYNTH_C_80_F_5_n100k,100000,80,C,0.4,1e-16,120,180,Hybrid,4.795633316040039,6.0,738852.1175316038
12,SYNTH_C_80_F_5_n100k,100000,80,C,0.6,1e-16,180,120,Hybrid,4.533060550689697,6.0,738791.9682843741
13,SYNTH_C_80_F_5_n100k,100000,80,C,0.8,1e-16,240,60,Hybrid,4.429333925247192,6.0,738509.0002549391
14,SYNTH_C_30_F_5_n100k,100000,80,C,full,1e-16,0,300,Double,4.643976449966431,4.0,408670.78940483904
15,SYNTH_C_30_F_5_n100k,100000,80,C,0.0,1e-16,1,299,Hybrid,4.828795909881592,6.0,408524.0805125084
16,SYNTH_C_30_F_5_n100k,100000,80,C,0.1,1e-16,30,270,Hybrid,4.983989000320435,6.0,408608.32576747524
17,SYNTH_C_30_F_5_n100k,100000,80,C,0.2,1e-16,60,240,Hybrid,4.972436904907227,6.0,408508.7129706107
18,SYNTH_C_30_F_5_n100k,100000,80,C,0.4,1e-16,120,180,Hybrid,4.462892055511475,6.0,408632.2275516916
19,SYNTH_C_30_F_5_n100k,100000,80,C,0.6,1e-16,180,120,Hybrid,4.744399070739746,6.0,408580.6082184658
20,SYNTH_C_30_F_5_n100k,100000,80,C,0.8,1e-16,240,60,Hybrid,4.370045900344849,6.0,408644.2080968157
