,DatasetName,DatasetSize,NumClusters,Mode,tolerance_single,Cap,iter_single,iter_double,Suite,Time,Memory_MB,Inertia
0,SYNTH_C_5_F_5_n100k,100000,80,D,-,-,1,0,Double,1.3383626020513475,1.910400390625,230202.01634657313
1,SYNTH_C_5_F_5_n100k,100000,80,D,0.01,-,5,1,Adaptive,3.140763101982884,1.90887451171875,218867.79330687542
2,SYNTH_C_5_F_5_n100k,100000,80,D,0.01,-,6,2,Adaptive,4.017852165037766,1.910400390625,217856.78446413466
3,SYNTH_C_5_F_5_n100k,100000,80,D,0.01,-,4,1,Adaptive,2.2440591299673542,1.90887451171875,219601.70949527097
4,SYNTH_C_5_F_5_n100k,100000,80,D,0.01,-,5,2,Adaptive,3.5036645219661295,1.910400390625,218309.58355594805
5,SYNTH_C_5_F_5_n100k,100000,80,D,0.01,-,3,1,Adaptive,1.8752691090339795,1.90887451171875,220626.02467516583
6,SYNTH_C_5_F_5_n100k,100000,80,D,0.01,-,4,2,Adaptive,2.966720374999568,1.910400390625,218867.7058649106
7,SYNTH_C_5_F_5_n100k,100000,80,D,0.02,-,5,1,Adaptive,2.833342224941589,1.90887451171875,218867.79330687542
8,SYNTH_C_5_F_5_n100k,100000,80,D,0.02,-,6,2,Adaptive,3.817335609928705,1.910400390625,217856.78446413466
9,SYNTH_C_5_F_5_n100k,100000,80,D,0.02,-,4,1,Adaptive,2.405736380023882,1.90887451171875,219601.70949527097
10,SYNTH_C_5_F_5_n100k,100000,80,D,0.02,-,5,2,Adaptive,3.425123159890063,1.910400390625,218309.58355594805
11,SYNTH_C_5_F_5_n100k,100000,80,D,0.02,-,3,1,Adaptive,1.8675583829171956,1.90887451171875,220626.02467516583
12,SYNTH_C_5_F_5_n100k,100000,80,D,0.02,-,4,2,Adaptive,2.964100119075738,1.910400390625,218867.7058649106
13,SYNTH_C_5_F_5_n100k,100000,80,D,0.05,-,5,1,Adaptive,2.768163291970268,1.90887451171875,218867.79330687542
14,SYNTH_C_5_F_5_n100k,100000,80,D,0.05,-,6,2,Adaptive,3.8004260630114004,1.910400390625,217856.78446413466
15,SYNTH_C_5_F_5_n100k,100000,80,D,0.05,-,4,1,Adaptive,2.2817820919444785,1.90887451171875,219601.70949527097
16,SYNTH_C_5_F_5_n100k,100000,80,D,0.05,-,5,2,Adaptive,3.4309961330145597,1.910400390625,218309.58355594805
17,SYNTH_C_5_F_5_n100k,100000,80,D,0.05,-,3,1,Adaptive,1.8749002089025453,1.90887451171875,220626.02467516583
18,SYNTH_C_5_F_5_n100k,100000,80,D,0.05,-,4,2,Adaptive,2.9381812220672145,1.910400390625,218867.7058649106
19,SYNTH_C_80_F_5_n100k,100000,80,D,-,-,1,0,Double,0.48401284008286893,1.910400390625,1280399.075768056
20,SYNTH_C_80_F_5_n100k,100000,80,D,0.01,-,6,1,Adaptive,3.1379602800589055,1.90887451171875,920552.1536600924
21,SYNTH_C_80_F_5_n100k,100000,80,D,0.01,-,7,4,Adaptive,5.812854962074198,1.910400390625,862825.6510659332
22,SYNTH_C_80_F_5_n100k,100000,80,D,0.01,-,6,1,Adaptive,3.2080792939523235,1.90887451171875,920552.1536600924
23,SYNTH_C_80_F_5_n100k,100000,80,D,0.01,-,7,4,Adaptive,5.724085642024875,1.910400390625,862825.6510659332
24,SYNTH_C_80_F_5_n100k,100000,80,D,0.01,-,6,1,Adaptive,3.179655230953358,1.90887451171875,920552.1536600924
25,SYNTH_C_80_F_5_n100k,100000,80,D,0.01,-,7,2,Adaptive,4.372683809022419,1.910400390625,893418.7993181833
26,SYNTH_C_80_F_5_n100k,100000,80,D,0.02,-,5,1,Adaptive,2.7560138929402456,1.90887451171875,922870.337460926
27,SYNTH_C_80_F_5_n100k,100000,80,D,0.02,-,6,2,Adaptive,3.996166576980613,1.910400390625,907427.5478318393
28,SYNTH_C_80_F_5_n100k,100000,80,D,0.02,-,5,1,Adaptive,2.7480154529912397,1.90887451171875,922870.337460926
29,SYNTH_C_80_F_5_n100k,100000,80,D,0.02,-,6,2,Adaptive,3.953160446952097,1.910400390625,907427.5478318393
30,SYNTH_C_80_F_5_n100k,100000,80,D,0.02,-,5,1,Adaptive,2.779809069004841,1.90887451171875,922870.337460926
31,SYNTH_C_80_F_5_n100k,100000,80,D,0.02,-,6,2,Adaptive,3.8578760540112853,1.910400390625,907427.5478318393
32,SYNTH_C_80_F_5_n100k,100000,80,D,0.05,-,4,1,Adaptive,2.3370312120532617,1.90887451171875,924920.1814274681
33,SYNTH_C_80_F_5_n100k,100000,80,D,0.05,-,5,2,Adaptive,3.494391957996413,1.910400390625,920552.1536600924
34,SYNTH_C_80_F_5_n100k,100000,80,D,0.05,-,4,1,Adaptive,2.27587171504274,1.90887451171875,924920.1814274681
35,SYNTH_C_80_F_5_n100k,100000,80,D,0.05,-,5,2,Adaptive,3.376409807940945,1.910400390625,920552.1536600924
36,SYNTH_C_80_F_5_n100k,100000,80,D,0.05,-,4,1,Adaptive,2.2852953339461237,1.90887451171875,924920.1814274681
37,SYNTH_C_80_F_5_n100k,100000,80,D,0.05,-,5,2,Adaptive,3.3572955320123583,1.910400390625,920552.1536600924
38,SYNTH_C_30_F_5_n100k,100000,80,D,-,-,1,0,Double,0.5397984510054812,1.910400390625,422620.3098525957
39,SYNTH_C_30_F_5_n100k,100000,80,D,0.01,-,3,1,Adaptive,1.8208264210261405,1.90887451171875,413167.83439646754
40,SYNTH_C_30_F_5_n100k,100000,80,D,0.01,-,4,2,Adaptive,3.031739119091071,1.910400390625,412399.35754109523
41,SYNTH_C_30_F_5_n100k,100000,80,D,0.01,-,3,1,Adaptive,1.9245994210941717,1.90887451171875,413167.83439646754
42,SYNTH_C_30_F_5_n100k,100000,80,D,0.01,-,4,2,Adaptive,2.9034623469924554,1.910400390625,412399.35754109523
43,SYNTH_C_30_F_5_n100k,100000,80,D,0.01,-,2,1,Adaptive,1.3940082190092653,1.90887451171875,414037.2963271265
44,SYNTH_C_30_F_5_n100k,100000,80,D,0.01,-,3,2,Adaptive,2.4940346060320735,1.910400390625,412715.37178726797
45,SYNTH_C_30_F_5_n100k,100000,80,D,0.02,-,3,1,Adaptive,1.87306020304095,1.90887451171875,413167.83439646754
46,SYNTH_C_30_F_5_n100k,100000,80,D,0.02,-,4,2,Adaptive,2.9367758409352973,1.910400390625,412399.35754109523
47,SYNTH_C_30_F_5_n100k,100000,80,D,0.02,-,3,1,Adaptive,1.9004330970346928,1.90887451171875,413167.83439646754
48,SYNTH_C_30_F_5_n100k,100000,80,D,0.02,-,4,2,Adaptive,2.8643009109655395,1.910400390625,412399.35754109523
49,SYNTH_C_30_F_5_n100k,100000,80,D,0.02,-,2,1,Adaptive,1.4704230079660192,1.90887451171875,414037.2963271265
