,DatasetName,DatasetSize,NumClusters,Mode,MB_Iter,MB_Batch,RefineIter,iter_single,iter_double,Suite,Time,Memory_MB,Inertia
0,SYNTH_C_5_F_5_n100k,500000,80,E,25,512,50,0,75,Double,4.964544296264648,20.0,5897407.888902371
1,SYNTH_C_5_F_5_n100k,500000,80,E,25,512,50,1,50,MiniBatch+Full,3.663748559076339,9.539794921875,5905298.335125187
2,SYNTH_C_5_F_5_n100k,500000,80,E,25,512,100,0,125,Double,8.20588994026184,20.0,5886427.400339667
3,SYNTH_C_5_F_5_n100k,500000,80,E,25,512,100,1,100,MiniBatch+Full,6.963215692900121,9.539794921875,5894410.777239486
4,SYNTH_C_5_F_5_n100k,500000,80,E,25,512,150,0,175,Double,11.411149263381958,20.0,5882741.348272108
5,SYNTH_C_5_F_5_n100k,500000,80,E,25,512,150,1,150,MiniBatch+Full,10.449889206094667,9.539794921875,5888662.524792488
6,SYNTH_C_5_F_5_n100k,500000,80,E,25,1024,50,0,75,Double,4.889507532119751,20.0,5896991.04378191
7,SYNTH_C_5_F_5_n100k,500000,80,E,25,1024,50,1,50,MiniBatch+Full,3.612019903957844,9.539794921875,5898733.47614361
8,SYNTH_C_5_F_5_n100k,500000,80,E,25,1024,100,0,125,Double,8.172729969024658,20.0,5886539.92447795
9,SYNTH_C_5_F_5_n100k,500000,80,E,25,1024,100,1,100,MiniBatch+Full,6.862079228041694,9.539794921875,5890663.143645196
10,SYNTH_C_5_F_5_n100k,500000,80,E,25,1024,150,0,175,Double,11.417176246643066,20.0,5882165.070114636
11,SYNTH_C_5_F_5_n100k,500000,80,E,25,1024,150,1,150,MiniBatch+Full,10.123429402010515,9.539794921875,5886525.883568295
12,SYNTH_C_5_F_5_n100k,500000,80,E,25,2048,50,0,75,Double,4.866774082183838,20.0,5897777.116670531
13,SYNTH_C_5_F_5_n100k,500000,80,E,25,2048,50,2,50,MiniBatch+Full,3.7255641859956086,9.539794921875,5904010.765481287
14,SYNTH_C_5_F_5_n100k,500000,80,E,25,2048,100,0,125,Double,8.3226900100708,20.0,5886462.3317883
15,SYNTH_C_5_F_5_n100k,500000,80,E,25,2048,100,2,100,MiniBatch+Full,6.9893679888919,9.539794921875,5894452.624203943
16,SYNTH_C_5_F_5_n100k,500000,80,E,25,2048,150,0,175,Double,11.415722608566284,20.0,5882654.925738367
17,SYNTH_C_5_F_5_n100k,500000,80,E,25,2048,150,2,150,MiniBatch+Full,10.373378322925419,9.539794921875,5891704.341828659
18,SYNTH_C_5_F_5_n100k,500000,80,E,50,512,50,0,100,Double,6.5432000160217285,20.0,5890800.303154769
19,SYNTH_C_5_F_5_n100k,500000,80,E,50,512,50,1,50,MiniBatch+Full,3.701844298047945,9.539794921875,5905213.152542291
20,SYNTH_C_5_F_5_n100k,500000,80,E,50,512,100,0,150,Double,9.83568286895752,20.0,5884611.710971099
21,SYNTH_C_5_F_5_n100k,500000,80,E,50,512,100,1,100,MiniBatch+Full,6.940585696138442,9.539794921875,5894625.1918966025
22,SYNTH_C_5_F_5_n100k,500000,80,E,50,512,150,0,200,Double,13.129291772842407,20.0,5882724.387681439
