DatasetName,DatasetSize,NumClusters,Mode,Cap,tolerance_single,iter_single,iter_double,Suite,Time,Memory_MB,Inertia
SYNTH_C_5_F_5_n100k,500000,80,Double,0,1e-05,0,300,G_opt,19.267955780029297,20.0,5880155.250207881
SYNTH_C_5_F_5_n100k,500000,80,Hybrid-Optimized,0,1e-05,0,300,G_opt,19.277301814989187,30.0,5878966.340581277
SYNTH_C_5_F_5_n100k,500000,80,Double,50,1e-05,0,300,G_opt,19.106208324432373,20.0,5878483.841423504
SYNTH_C_5_F_5_n100k,500000,80,Hybrid-Optimized,50,1e-05,50,250,G_opt,18.666280010016635,30.0,5879206.671222515
SYNTH_C_5_F_5_n100k,500000,80,Double,100,1e-05,0,300,G_opt,18.763861894607544,20.0,5879317.120607661
SYNTH_C_5_F_5_n100k,500000,80,Hybrid-Optimized,100,1e-05,100,200,G_opt,18.390296897967346,30.0,5878618.627130729
SYNTH_C_5_F_5_n100k,500000,80,Double,150,1e-05,0,300,G_opt,18.848331212997437,20.0,5879668.132472132
SYNTH_C_5_F_5_n100k,500000,80,Hybrid-Optimized,150,1e-05,150,150,G_opt,17.81795063894242,30.0,5879579.37089352
SYNTH_C_5_F_5_n100k,500000,80,Double,200,1e-05,0,300,G_opt,18.999151945114136,20.0,5879790.33626084
SYNTH_C_5_F_5_n100k,500000,80,Hybrid-Optimized,200,1e-05,200,100,G_opt,17.93867835390847,30.0,5878777.78630658
SYNTH_C_5_F_5_n100k,500000,80,Double,250,1e-05,0,300,G_opt,19.30239200592041,20.0,5878555.507911413
SYNTH_C_5_F_5_n100k,500000,80,Hybrid-Optimized,250,1e-05,250,50,G_opt,19.034794687991962,30.0,5879090.133088757
SYNTH_C_5_F_5_n100k,500000,80,Double,300,1e-05,0,300,G_opt,18.76595163345337,20.0,5878719.668210969
SYNTH_C_5_F_5_n100k,500000,80,Hybrid-Optimized,300,1e-05,300,1,G_opt,16.558290209039114,30.0,5996057.930644641
