DatasetName,DatasetSize,NumClusters,Mode,tolerance_single,iter_single,iter_double,Suite,Time,Memory_MB,ARI,DBI,Inertia
SYNTH_C_5_F_80_n100k,100000,30,B,1e-05,0,848,Double,21.37376046180725,64.0,0.27782068899766404,7.584101591679836,7787179.771629823
SYNTH_C_5_F_80_n100k,100000,30,B,0.1,0,612,AdaptiveHybrid,15.92712140083313,96.0,0.2777810145412273,7.582059375335975,7787529.330803262
SYNTH_C_5_F_80_n100k,100000,30,B,0.01,0,1000,AdaptiveHybrid,26.507278203964233,96.0,0.27779072718775655,7.584437538347186,7787156.702255266
SYNTH_C_5_F_80_n100k,100000,30,B,0.001,15,859,AdaptiveHybrid,23.561566829681396,96.0,0.2777553470416402,7.578336473653168,7787156.074194021
SYNTH_C_5_F_80_n100k,100000,30,B,0.0001,205,255,AdaptiveHybrid,10.654853105545044,96.0,0.2777998465256559,7.577888796892295,7787519.876521298
SYNTH_C_80_F_5_n100k,100000,30,B,1e-05,0,73,Double,0.5750865936279297,4.0,0.4186351077846354,1.098622629878882,2774701.240068598
SYNTH_C_80_F_5_n100k,100000,30,B,0.1,1,132,AdaptiveHybrid,0.981715202331543,6.0,0.4186231973367467,1.0986601236544036,2774704.605544962
SYNTH_C_80_F_5_n100k,100000,30,B,0.01,12,70,AdaptiveHybrid,0.7241172790527344,6.0,0.4186358818165995,1.0986186756865335,2774718.8711333573
SYNTH_C_80_F_5_n100k,100000,30,B,0.001,37,84,AdaptiveHybrid,0.9284846782684326,6.0,0.4186230077325673,1.098623393708224,2774696.754512336
SYNTH_C_80_F_5_n100k,100000,30,B,0.0001,55,68,AdaptiveHybrid,1.0074431896209717,6.0,0.4186341837701156,1.098613184558842,2774703.8510165485
SYNTH_C_80_30_n100k,100000,30,B,1e-05,0,35,Double,0.5584549903869629,24.0,0.3888691609357523,1.8283803072046825,48170618.593170166
SYNTH_C_80_30_n100k,100000,30,B,0.1,1,34,AdaptiveHybrid,0.661870002746582,36.0,0.3888649017777835,1.8294421942057515,48170678.20194846
SYNTH_C_80_30_n100k,100000,30,B,0.01,6,34,AdaptiveHybrid,0.7181496620178223,36.0,0.38886293519612997,1.8320245834875568,48170625.56604663
SYNTH_C_80_30_n100k,100000,30,B,0.001,20,26,AdaptiveHybrid,0.7896521091461182,36.0,0.3888674783080924,1.8324007122317496,48170620.259018354
SYNTH_C_80_30_n100k,100000,30,B,0.0001,36,31,AdaptiveHybrid,0.9805686473846436,36.0,0.3888649017777835,1.8288111350457021,48170602.26848652
