DatasetName,DatasetSize,NumClasses,Mode,Cap,tolerance_single,iter_single,iter_double,Suite,Time,Memory_MB,Accuracy
SYNTH_C_2_F_150_n1000k_logistic,1000000,2,Double,1,0.001,0,0,LR_ExpA,0.5893802820064593,16.0,0.915766
SYNTH_C_2_F_150_n1000k_logistic,1000000,2,Hybrid,1,0.001,0,0,LR_ExpA,0.6750364219769835,16.0,0.915766
SYNTH_C_2_F_150_n1000k_logistic,1000000,2,Double,2,0.001,0,0,LR_ExpA,0.5893802820064593,16.0,0.915766
SYNTH_C_2_F_150_n1000k_logistic,1000000,2,Hybrid,2,0.001,0,0,LR_ExpA,0.6985542530019302,16.0,0.915766
SYNTH_C_2_F_150_n1000k_logistic,1000000,2,Double,4,0.001,0,0,LR_ExpA,0.5893802820064593,16.0,0.915766
SYNTH_C_2_F_150_n1000k_logistic,1000000,2,Hybrid,4,0.001,0,0,LR_ExpA,0.7658304029901046,16.0,0.915766
SYNTH_C_2_F_150_n1000k_logistic,1000000,2,Double,6,0.001,0,0,LR_ExpA,0.5893802820064593,16.0,0.915766
SYNTH_C_2_F_150_n1000k_logistic,1000000,2,Hybrid,6,0.001,0,0,LR_ExpA,0.8352616119955201,16.0,0.915766
SYNTH_C_2_F_150_n1000k_logistic,1000000,2,Double,8,0.001,0,0,LR_ExpA,0.5893802820064593,16.0,0.915766
SYNTH_C_2_F_150_n1000k_logistic,1000000,2,Hybrid,8,0.001,0,0,LR_ExpA,0.8733152540226001,16.0,0.915766
SYNTH_C_2_F_150_n1000k_logistic,1000000,2,Double,10,0.001,0,0,LR_ExpA,0.5893802820064593,16.0,0.915766
SYNTH_C_2_F_150_n1000k_logistic,1000000,2,Hybrid,10,0.001,0,0,LR_ExpA,0.8772412080143113,16.0,0.915766
SYNTH_C_2_F_150_n1000k_logistic,1000000,2,Double,12,0.001,0,0,LR_ExpA,0.5893802820064593,16.0,0.915766
SYNTH_C_2_F_150_n1000k_logistic,1000000,2,Hybrid,12,0.001,0,0,LR_ExpA,0.8718051199975889,16.0,0.915766
SYNTH_C_2_F_150_n1000k_logistic,1000000,2,Double,14,0.001,0,0,LR_ExpA,0.5893802820064593,16.0,0.915766
SYNTH_C_2_F_150_n1000k_logistic,1000000,2,Hybrid,14,0.001,0,0,LR_ExpA,0.8662616740039084,16.0,0.915766
SYNTH_C_2_F_150_n1000k_logistic,1000000,2,Double,16,0.001,0,0,LR_ExpA,0.5893802820064593,16.0,0.915766
SYNTH_C_2_F_150_n1000k_logistic,1000000,2,Hybrid,16,0.001,0,0,LR_ExpA,0.8908656729909126,16.0,0.915766
SYNTH_C_2_F_150_n1000k_logistic,1000000,2,Double,18,0.001,0,0,LR_ExpA,0.5893802820064593,16.0,0.915766
SYNTH_C_2_F_150_n1000k_logistic,1000000,2,Hybrid,18,0.001,0,0,LR_ExpA,0.8641416120226495,16.0,0.915766
SYNTH_C_2_F_150_n1000k_logistic,1000000,2,Double,20,0.001,0,0,LR_ExpA,0.5893802820064593,16.0,0.915766
SYNTH_C_2_F_150_n1000k_logistic,1000000,2,Hybrid,20,0.001,0,0,LR_ExpA,0.8646434330148622,16.0,0.915766
SYNTH_C_2_F_150_n1000k_logistic,1000000,2,Double,1,0.001,0,0,LR_ExpA,0.567467968998244,16.0,0.915766
SYNTH_C_2_F_150_n1000k_logistic,1000000,2,Hybrid,1,0.001,0,0,LR_ExpA,0.6716634250187781,16.0,0.915766
SYNTH_C_2_F_150_n1000k_logistic,1000000,2,Double,2,0.001,0,0,LR_ExpA,0.567467968998244,16.0,0.915766
SYNTH_C_2_F_150_n1000k_logistic,1000000,2,Hybrid,2,0.001,0,0,LR_ExpA,0.7050427929789294,16.0,0.915766
SYNTH_C_2_F_150_n1000k_logistic,1000000,2,Double,4,0.001,0,0,LR_ExpA,0.567467968998244,16.0,0.915766
SYNTH_C_2_F_150_n1000k_logistic,1000000,2,Hybrid,4,0.001,0,0,LR_ExpA,0.7665060879953671,16.0,0.915766
SYNTH_C_2_F_150_n1000k_logistic,1000000,2,Double,6,0.001,0,0,LR_ExpA,0.567467968998244,16.0,0.915766
SYNTH_C_2_F_150_n1000k_logistic,1000000,2,Hybrid,6,0.001,0,0,LR_ExpA,0.8396517880028114,16.0,0.915766
SYNTH_C_2_F_150_n1000k_logistic,1000000,2,Double,8,0.001,0,0,LR_ExpA,0.567467968998244,16.0,0.915766
SYNTH_C_2_F_150_n1000k_logistic,1000000,2,Hybrid,8,0.001,0,0,LR_ExpA,0.8674981670046691,16.0,0.915766
SYNTH_C_2_F_150_n1000k_logistic,1000000,2,Double,10,0.001,0,0,LR_ExpA,0.567467968998244,16.0,0.915766
SYNTH_C_2_F_150_n1000k_logistic,1000000,2,Hybrid,10,0.001,0,0,LR_ExpA,0.8792668120004237,16.0,0.915766
SYNTH_C_2_F_150_n1000k_logistic,1000000,2,Double,12,0.001,0,0,LR_ExpA,0.567467968998244,16.0,0.915766
SYNTH_C_2_F_150_n1000k_logistic,1000000,2,Hybrid,12,0.001,0,0,LR_ExpA,0.8688652709824964,16.0,0.915766
SYNTH_C_2_F_150_n1000k_logistic,1000000,2,Double,14,0.001,0,0,LR_ExpA,0.567467968998244,16.0,0.915766
SYNTH_C_2_F_150_n1000k_logistic,1000000,2,Hybrid,14,0.001,0,0,LR_ExpA,0.8654584350297228,16.0,0.915766
SYNTH_C_2_F_150_n1000k_logistic,1000000,2,Double,16,0.001,0,0,LR_ExpA,0.567467968998244,16.0,0.915766
SYNTH_C_2_F_150_n1000k_logistic,1000000,2,Hybrid,16,0.001,0,0,LR_ExpA,0.8778569549904205,16.0,0.915766
SYNTH_C_2_F_150_n1000k_logistic,1000000,2,Double,18,0.001,0,0,LR_ExpA,0.567467968998244,16.0,0.915766
SYNTH_C_2_F_150_n1000k_logistic,1000000,2,Hybrid,18,0.001,0,0,LR_ExpA,0.8707627599942498,16.0,0.915766
SYNTH_C_2_F_150_n1000k_logistic,1000000,2,Double,20,0.001,0,0,LR_ExpA,0.567467968998244,16.0,0.915766
SYNTH_C_2_F_150_n1000k_logistic,1000000,2,Hybrid,20,0.001,0,0,LR_ExpA,0.8768499330035411,16.0,0.915766
SYNTH_C_2_F_150_n1000k_logistic,1000000,2,Double,1,0.001,0,0,LR_ExpA,0.5588105269998778,16.0,0.915766
SYNTH_C_2_F_150_n1000k_logistic,1000000,2,Hybrid,1,0.001,0,0,LR_ExpA,0.6777897300198674,16.0,0.915766
SYNTH_C_2_F_150_n1000k_logistic,1000000,2,Double,2,0.001,0,0,LR_ExpA,0.5588105269998778,16.0,0.915766
SYNTH_C_2_F_150_n1000k_logistic,1000000,2,Hybrid,2,0.001,0,0,LR_ExpA,0.7040093810064718,16.0,0.915766
SYNTH_C_2_F_150_n1000k_logistic,1000000,2,Double,4,0.001,0,0,LR_ExpA,0.5588105269998778,16.0,0.915766
SYNTH_C_2_F_150_n1000k_logistic,1000000,2,Hybrid,4,0.001,0,0,LR_ExpA,0.7738275250012521,16.0,0.915766
SYNTH_C_2_F_150_n1000k_logistic,1000000,2,Double,6,0.001,0,0,LR_ExpA,0.5588105269998778,16.0,0.915766
SYNTH_C_2_F_150_n1000k_logistic,1000000,2,Hybrid,6,0.001,0,0,LR_ExpA,0.8362938589707483,16.0,0.915766
SYNTH_C_2_F_150_n1000k_logistic,1000000,2,Double,8,0.001,0,0,LR_ExpA,0.5588105269998778,16.0,0.915766
SYNTH_C_2_F_150_n1000k_logistic,1000000,2,Hybrid,8,0.001,0,0,LR_ExpA,0.872714615019504,16.0,0.915766
SYNTH_C_2_F_150_n1000k_logistic,1000000,2,Double,10,0.001,0,0,LR_ExpA,0.5588105269998778,16.0,0.915766
SYNTH_C_2_F_150_n1000k_logistic,1000000,2,Hybrid,10,0.001,0,0,LR_ExpA,0.8747389750205912,16.0,0.915766
SYNTH_C_2_F_150_n1000k_logistic,1000000,2,Double,12,0.001,0,0,LR_ExpA,0.5588105269998778,16.0,0.915766
SYNTH_C_2_F_150_n1000k_logistic,1000000,2,Hybrid,12,0.001,0,0,LR_ExpA,0.8780740140064154,16.0,0.915766
SYNTH_C_2_F_150_n1000k_logistic,1000000,2,Double,14,0.001,0,0,LR_ExpA,0.5588105269998778,16.0,0.915766
SYNTH_C_2_F_150_n1000k_logistic,1000000,2,Hybrid,14,0.001,0,0,LR_ExpA,0.8765013089869171,16.0,0.915766
SYNTH_C_2_F_150_n1000k_logistic,1000000,2,Double,16,0.001,0,0,LR_ExpA,0.5588105269998778,16.0,0.915766
SYNTH_C_2_F_150_n1000k_logistic,1000000,2,Hybrid,16,0.001,0,0,LR_ExpA,0.9176955650036689,16.0,0.915766
SYNTH_C_2_F_150_n1000k_logistic,1000000,2,Double,18,0.001,0,0,LR_ExpA,0.5588105269998778,16.0,0.915766
SYNTH_C_2_F_150_n1000k_logistic,1000000,2,Hybrid,18,0.001,0,0,LR_ExpA,0.9716868979739957,16.0,0.915766
SYNTH_C_2_F_150_n1000k_logistic,1000000,2,Double,20,0.001,0,0,LR_ExpA,0.5588105269998778,16.0,0.915766
SYNTH_C_2_F_150_n1000k_logistic,1000000,2,Hybrid,20,0.001,0,0,LR_ExpA,0.8996350249799434,16.0,0.915766
