DatasetName,DatasetSize,NumClasses,Mode,tolerance_single,iter_single,iter_double,Suite,Time,Memory_MB,Accuracy
SYNTH_C_2_F_50_n1000k_logistic,1000000,2,Double,0.01,0,0,LR_ExpB,1.5887448189896531,40.0,0.999958
SYNTH_C_2_F_50_n1000k_logistic,1000000,2,Hybrid,0.01,0,0,LR_ExpB,2.519472048996249,40.0,0.999958
SYNTH_C_2_F_50_n1000k_logistic,1000000,2,Double,0.01,0,0,LR_ExpB,1.6281779700075276,40.0,0.999958
SYNTH_C_2_F_50_n1000k_logistic,1000000,2,Hybrid,0.01,0,0,LR_ExpB,2.525227808015188,40.0,0.999958
SYNTH_C_2_F_50_n1000k_logistic,1000000,2,Double,0.008,0,0,LR_ExpB,1.5964788489800412,40.0,0.999958
SYNTH_C_2_F_50_n1000k_logistic,1000000,2,Hybrid,0.008,0,0,LR_ExpB,2.4855664890201297,40.0,0.999958
SYNTH_C_2_F_50_n1000k_logistic,1000000,2,Double,0.006,0,0,LR_ExpB,1.5782477679895237,40.0,0.999958
SYNTH_C_2_F_50_n1000k_logistic,1000000,2,Hybrid,0.006,0,0,LR_ExpB,2.5013336669944692,40.0,0.999958
SYNTH_C_2_F_50_n1000k_logistic,1000000,2,Double,0.004,0,0,LR_ExpB,1.5720285600109491,40.0,0.999958
SYNTH_C_2_F_50_n1000k_logistic,1000000,2,Hybrid,0.004,0,0,LR_ExpB,2.4806651860126294,40.0,0.999958
SYNTH_C_2_F_50_n1000k_logistic,1000000,2,Double,0.002,0,0,LR_ExpB,1.5854004709981382,40.0,0.999958
SYNTH_C_2_F_50_n1000k_logistic,1000000,2,Hybrid,0.002,0,0,LR_ExpB,2.4692699300067034,40.0,0.999958
SYNTH_C_2_F_50_n1000k_logistic,1000000,2,Double,0.001,0,0,LR_ExpB,1.5756213050044607,40.0,0.999958
SYNTH_C_2_F_50_n1000k_logistic,1000000,2,Hybrid,0.001,0,0,LR_ExpB,2.475128414982464,40.0,0.999958
SYNTH_C_2_F_50_n1000k_logistic,1000000,2,Double,0.01,0,0,LR_ExpB,1.567214470996987,40.0,0.999958
SYNTH_C_2_F_50_n1000k_logistic,1000000,2,Hybrid,0.01,0,0,LR_ExpB,2.5171253079897724,40.0,0.999958
SYNTH_C_2_F_50_n1000k_logistic,1000000,2,Double,0.01,0,0,LR_ExpB,1.6012967030110303,40.0,0.999958
SYNTH_C_2_F_50_n1000k_logistic,1000000,2,Hybrid,0.01,0,0,LR_ExpB,2.5753371989994776,40.0,0.999958
SYNTH_C_2_F_50_n1000k_logistic,1000000,2,Double,0.008,0,0,LR_ExpB,1.5815877960121725,40.0,0.999958
SYNTH_C_2_F_50_n1000k_logistic,1000000,2,Hybrid,0.008,0,0,LR_ExpB,2.4955321600136813,40.0,0.999958
SYNTH_C_2_F_50_n1000k_logistic,1000000,2,Double,0.006,0,0,LR_ExpB,1.6376566309772898,40.0,0.999958
SYNTH_C_2_F_50_n1000k_logistic,1000000,2,Hybrid,0.006,0,0,LR_ExpB,2.72117067000363,40.0,0.999958
SYNTH_C_2_F_50_n1000k_logistic,1000000,2,Double,0.004,0,0,LR_ExpB,1.5818106349906884,40.0,0.999958
SYNTH_C_2_F_50_n1000k_logistic,1000000,2,Hybrid,0.004,0,0,LR_ExpB,2.490876092982944,40.0,0.999958
SYNTH_C_2_F_50_n1000k_logistic,1000000,2,Double,0.002,0,0,LR_ExpB,1.581295179988956,40.0,0.999958
SYNTH_C_2_F_50_n1000k_logistic,1000000,2,Hybrid,0.002,0,0,LR_ExpB,2.48377054699813,40.0,0.999958
SYNTH_C_2_F_50_n1000k_logistic,1000000,2,Double,0.001,0,0,LR_ExpB,1.5615899090189487,40.0,0.999958
SYNTH_C_2_F_50_n1000k_logistic,1000000,2,Hybrid,0.001,0,0,LR_ExpB,2.4836499010270927,40.0,0.999958
SYNTH_C_2_F_50_n1000k_logistic,1000000,2,Double,0.01,0,0,LR_ExpB,1.5604942920035683,40.0,0.999958
SYNTH_C_2_F_50_n1000k_logistic,1000000,2,Hybrid,0.01,0,0,LR_ExpB,2.632828936999431,40.0,0.999958
SYNTH_C_2_F_50_n1000k_logistic,1000000,2,Double,0.01,0,0,LR_ExpB,1.7841101879894268,40.0,0.999958
SYNTH_C_2_F_50_n1000k_logistic,1000000,2,Hybrid,0.01,0,0,LR_ExpB,2.717089390993351,40.0,0.999958
SYNTH_C_2_F_50_n1000k_logistic,1000000,2,Double,0.008,0,0,LR_ExpB,1.6103256499918643,40.0,0.999958
SYNTH_C_2_F_50_n1000k_logistic,1000000,2,Hybrid,0.008,0,0,LR_ExpB,2.497764734987868,40.0,0.999958
SYNTH_C_2_F_50_n1000k_logistic,1000000,2,Double,0.006,0,0,LR_ExpB,1.5856430369894952,40.0,0.999958
SYNTH_C_2_F_50_n1000k_logistic,1000000,2,Hybrid,0.006,0,0,LR_ExpB,2.5024693830055185,40.0,0.999958
SYNTH_C_2_F_50_n1000k_logistic,1000000,2,Double,0.004,0,0,LR_ExpB,1.5909081589779817,40.0,0.999958
SYNTH_C_2_F_50_n1000k_logistic,1000000,2,Hybrid,0.004,0,0,LR_ExpB,2.500216513988562,40.0,0.999958
SYNTH_C_2_F_50_n1000k_logistic,1000000,2,Double,0.002,0,0,LR_ExpB,1.6711521969991736,40.0,0.999958
SYNTH_C_2_F_50_n1000k_logistic,1000000,2,Hybrid,0.002,0,0,LR_ExpB,2.6569157630146947,40.0,0.999958
SYNTH_C_2_F_50_n1000k_logistic,1000000,2,Double,0.001,0,0,LR_ExpB,1.572984822007129,40.0,0.999958
SYNTH_C_2_F_50_n1000k_logistic,1000000,2,Hybrid,0.001,0,0,LR_ExpB,2.5045652209664695,40.0,0.999958
