DatasetName,DatasetSize,NumClusters,NumFeatures,Suite,SweepVal,Mode,SwitchIter,Time,Memory_MB,ARI,DBI,Inertia,CenterDiff
SYNTH_K30_n100k,100000,5,3,A,0.0,Double,300.0,0.2743690013885498,0.20215626224483296,1.0200641094758707,2.4,2726623.102168376,0.0
SYNTH_K30_n100k,100000,5,3,A,0.0,AdaptiveHybrid,141.0,0.5303170680999756,3.5999999999999996,0.20207038921591486,1.0199974962001284,2726584.5311932433,1.4008104882820354
SYNTH_K30_n100k,100000,5,3,A,0.0,Double,300.0,0.41359710693359375,0.20207053806031572,1.0199914927064144,2.4,2726584.251054165,0.0
SYNTH_K30_n100k,100000,5,3,A,0.0,AdaptiveHybrid,96.0,0.2927687168121338,3.5999999999999996,0.20207038921591486,1.0199974962001284,2726586.538789993,1.397503579613456
SYNTH_K30_n100k,100000,5,3,A,0.0,Double,300.0,0.3055706024169922,0.20208004590734288,1.0200023984844688,2.4,2726589.3423955846,0.0
SYNTH_K30_n100k,100000,5,3,A,0.0,AdaptiveHybrid,112.0,0.49364614486694336,3.5999999999999996,0.2020680790577374,1.0199960745490675,2726583.966389214,1.428078962990563
SYNTH_K30_n100k,100000,5,3,B,0.1,Double,0.45867061614990234,0.2020898647271451,1000.0,1.0199947841924573,2.4,2726583.8851991426,0.0
SYNTH_K30_n100k,100000,5,3,B,0.1,AdaptiveHybrid,30.0,0.16461491584777832,3.5999999999999996,0.2020898647271451,1.0199947841924573,2726590.556717351,0.5155141133396239
SYNTH_K30_n100k,100000,5,3,B,0.1,Double,1.5937042236328125,0.2020898647271451,1000.0,1.0199947841924573,2.4,2726587.1213476085,0.0
SYNTH_K30_n100k,100000,5,3,B,0.1,AdaptiveHybrid,381.0,1.407158374786377,3.5999999999999996,0.2020898647271451,1.0199947841924573,2726584.83385905,0.4563828691808025
SYNTH_K30_n100k,100000,5,3,B,0.1,Double,1.368898630142212,0.2020825601885557,1000.0,1.0199969195634981,2.4,2726584.115118825,0.0
SYNTH_K30_n100k,100000,5,3,B,0.1,AdaptiveHybrid,229.0,0.6594452857971191,3.5999999999999996,0.20207053806031572,1.0199914927064144,2726589.0576231857,0.5002781730769436
SYNTH_K30_n100k,100000,5,3,B,0.001,Double,1.6380736827850342,0.20207290312944437,1000.0,1.0199920155146933,2.4,2726599.006233983,0.0
SYNTH_K30_n100k,100000,5,3,B,0.001,AdaptiveHybrid,98.0,0.32677245140075684,3.5999999999999996,0.20207053806031572,1.0199914927064144,2726614.6373804295,0.07043142876674803
SYNTH_K30_n100k,100000,5,3,B,0.001,Double,0.4297361373901367,0.20206556532807932,1000.0,1.0200015554500181,2.4,2726584.196349242,0.0
SYNTH_K30_n100k,100000,5,3,B,0.001,AdaptiveHybrid,64.0,0.2756459712982178,3.5999999999999996,0.2020801954499195,1.0199963969495187,2726585.6989469267,0.07297793263200379
SYNTH_K30_n100k,100000,5,3,B,0.001,Double,0.14960861206054688,0.2020898647271451,1000.0,1.0199947841924573,2.4,2726583.8851991426,0.0
SYNTH_K30_n100k,100000,5,3,B,0.001,AdaptiveHybrid,80.0,0.3340756893157959,3.5999999999999996,0.20207053806031572,1.0199914927064144,2726584.7684063255,0.011117725385079123
SYNTH_K30_n100k,100000,5,3,B,1e-05,Double,0.32823944091796875,0.20209222913533811,1000.0,1.019995307311063,2.4,2726585.927226094,0.0
SYNTH_K30_n100k,100000,5,3,B,1e-05,AdaptiveHybrid,95.0,0.38007616996765137,3.5999999999999996,0.2020801954499195,1.0199963969495187,2726590.469022604,0.00567370662795152
SYNTH_K30_n100k,100000,5,3,B,1e-05,Double,0.3389277458190918,0.20207038921591486,1000.0,1.0199974962001284,2.4,2726587.0713847606,0.0
SYNTH_K30_n100k,100000,5,3,B,1e-05,AdaptiveHybrid,86.0,0.32938647270202637,3.5999999999999996,0.2020898647271451,1.0199947841924573,2726585.9250913085,0.011553961413386278
SYNTH_K30_n100k,100000,5,3,B,1e-05,Double,0.3011469841003418,0.20207025657300398,1000.0,1.0200007676592897,2.4,2726584.8526954553,0.0
SYNTH_K30_n100k,100000,5,3,B,1e-05,AdaptiveHybrid,61.0,0.31796836853027344,3.5999999999999996,0.2020801954499195,1.0199963969495187,2726583.8975881925,0.018495388289441004
SYNTH_K30_n100k,100000,5,3,B,1e-07,Double,0.3852074146270752,0.2020898647271451,1000.0,1.0199947841924573,2.4,2726588.5500897644,0.0
SYNTH_K30_n100k,100000,5,3,B,1e-07,AdaptiveHybrid,105.0,0.43155694007873535,3.5999999999999996,0.20207053806031572,1.0199914927064144,2726584.5240313276,0.005948607100517976
SYNTH_K30_n100k,100000,5,3,B,1e-07,Double,0.44160032272338867,0.2020825601885557,1000.0,1.0199969195634981,2.4,2726585.2005757615,0.0
SYNTH_K30_n100k,100000,5,3,B,1e-07,AdaptiveHybrid,62.0,0.3110320568084717,3.5999999999999996,0.20206968434335784,1.019995931987268,2726587.9481487595,0.026051008281765434
SYNTH_K30_n100k,100000,5,3,B,1e-07,Double,0.3405311107635498,0.20207053806031572,1000.0,1.0199914927064144,2.4,2726586.2206070037,0.0
SYNTH_K30_n100k,100000,5,3,B,1e-07,AdaptiveHybrid,107.0,0.34290194511413574,3.5999999999999996,0.20207038921591486,1.0199974962001284,2726583.9351885114,0.01028154277216479
SYNTH_K30_n100k,100000,5,3,B,1e-09,Double,0.2569854259490967,0.2020825601885557,1000.0,1.0199969195634981,2.4,2726603.330848464,0.0
SYNTH_K30_n100k,100000,5,3,B,1e-09,AdaptiveHybrid,111.0,0.4210503101348877,3.5999999999999996,0.2020680790577374,1.0199960745490675,2726587.102883871,0.017600205598424085
SYNTH_K30_n100k,100000,5,3,B,1e-09,Double,0.3239896297454834,0.20207038921591486,1000.0,1.0199974962001284,2.4,2726588.5156589383,0.0
SYNTH_K30_n100k,100000,5,3,B,1e-09,AdaptiveHybrid,85.0,0.37735915184020996,3.5999999999999996,0.20207053806031572,1.0199914927064144,2726584.251054165,0.008315598708505973
SYNTH_K30_n100k,100000,5,3,B,1e-09,Double,0.2680990695953369,0.20207053806031572,1000.0,1.0199914927064144,2.4,2726584.145894395,0.0
SYNTH_K30_n100k,100000,5,3,B,1e-09,AdaptiveHybrid,124.0,0.42420196533203125,3.5999999999999996,0.20207053806031572,1.0199914927064144,2726587.1009556605,0.008365303834111435
SYNTH_K30_n100k,100000,5,3,A,50.0,Double,300.0,0.3008904457092285,0.20207053806031572,1.0199914927064144,2.4,2726584.7949775327,0.0
SYNTH_K30_n100k,100000,5,3,A,50.0,AdaptiveHybrid,75.0,0.32228541374206543,3.5999999999999996,0.2020898647271451,1.0199947841924573,2726587.2667726297,0.049668614372252215
SYNTH_K30_n100k,100000,5,3,A,50.0,Double,300.0,0.4112224578857422,0.2020898647271451,1.0199947841924573,2.4,2726588.316555788,0.0
SYNTH_K30_n100k,100000,5,3,A,50.0,AdaptiveHybrid,60.0,0.26711392402648926,3.5999999999999996,0.2020825601885557,1.0199969195634981,2726583.8974235966,0.03739579033250676
SYNTH_K30_n100k,100000,5,3,A,50.0,Double,300.0,0.12729120254516602,0.2020898647271451,1.0199947841924573,2.4,2726583.8851991426,0.0
SYNTH_K30_n100k,100000,5,3,A,50.0,AdaptiveHybrid,51.0,0.25002241134643555,3.5999999999999996,0.20206556532807932,1.0200015554500181,2726585.7782099126,0.0006685083189632469
SYNTH_K30_n100k,100000,5,3,B,0.1,Double,0.32767319679260254,0.2020938284689505,1000.0,1.0200084868799244,2.4,2726584.440100245,0.0
SYNTH_K30_n100k,100000,5,3,B,0.1,AdaptiveHybrid,71.0,0.2859795093536377,3.5999999999999996,0.20207053806031572,1.0199914927064144,2726584.0423602667,0.5001749663517555
SYNTH_K30_n100k,100000,5,3,B,0.1,Double,0.320512056350708,0.2020758382838609,1000.0,1.0200013332415394,2.4,2726584.645340169,0.0
SYNTH_K30_n100k,100000,5,3,B,0.1,AdaptiveHybrid,121.0,0.29093503952026367,3.5999999999999996,0.20209222913533811,1.019995307311063,2726584.3113432,0.4961020418100933
SYNTH_K30_n100k,100000,5,3,B,0.1,Double,0.2863316535949707,0.2020898647271451,1000.0,1.0199947841924573,2.4,2726584.481954403,0.0
SYNTH_K30_n100k,100000,5,3,B,0.1,AdaptiveHybrid,73.0,0.29795098304748535,3.5999999999999996,0.20207053806031572,1.0199914927064144,2726585.771742028,0.5109555482552997
SYNTH_K30_n100k,100000,5,3,B,0.001,Double,0.32578253746032715,0.20207053806031572,1000.0,1.0199914927064144,2.4,2726585.0870503616,0.0
SYNTH_K30_n100k,100000,5,3,B,0.001,AdaptiveHybrid,358.0,0.908745527267456,3.5999999999999996,0.20207053806031572,1.0199914927064144,2726592.181175263,0.12851796959688438
SYNTH_K30_n100k,100000,5,3,B,0.001,Double,1.3879365921020508,0.2020801954499195,1000.0,1.0199963969495187,2.4,2726587.6254602624,0.0
SYNTH_K30_n100k,100000,5,3,B,0.001,AdaptiveHybrid,145.0,0.4685630798339844,3.5999999999999996,0.20207053806031572,1.0199914927064144,2726583.928155804,0.009810265654540332
SYNTH_K30_n100k,100000,5,3,B,0.001,Double,1.4940624237060547,0.20209222913533811,1000.0,1.019995307311063,2.4,2726584.114322077,0.0
SYNTH_K30_n100k,100000,5,3,B,0.001,AdaptiveHybrid,439.0,1.1864573955535889,3.5999999999999996,0.20207290312944437,1.0199920155146933,2726596.671630459,0.020701285702912336
SYNTH_K30_n100k,100000,5,3,B,1e-05,Double,0.13018083572387695,0.2020898647271451,1000.0,1.0199947841924573,2.4,2726608.746171387,0.0
SYNTH_K30_n100k,100000,5,3,B,1e-05,AdaptiveHybrid,304.0,1.0681700706481934,3.5999999999999996,0.2020680790577374,1.0199960745490675,2726619.211108676,0.053534589322522017
SYNTH_K30_n100k,100000,5,3,B,1e-05,Double,1.0752472877502441,0.20207290312944437,1000.0,1.0199920155146933,2.4,2726604.20419739,0.0
SYNTH_K30_n100k,100000,5,3,B,1e-05,AdaptiveHybrid,531.0,1.7550339698791504,3.5999999999999996,0.20207038921591486,1.0199974962001284,2726584.154246803,0.041128429243230014
SYNTH_K30_n100k,100000,5,3,B,1e-05,Double,0.4344470500946045,0.20207290312944437,1000.0,1.0199920155146933,2.4,2726584.52240327,0.0
SYNTH_K30_n100k,100000,5,3,B,1e-05,AdaptiveHybrid,165.0,0.4336423873901367,3.5999999999999996,0.2020898647271451,1.0199947841924573,2726583.8851991454,0.015955120879946647
SYNTH_K30_n100k,100000,5,3,B,1e-07,Double,0.09164810180664062,0.2020825601885557,1000.0,1.0199969195634981,2.4,2726604.752000438,0.0
SYNTH_K30_n100k,100000,5,3,B,1e-07,AdaptiveHybrid,100.0,0.31516551971435547,3.5999999999999996,0.20207038921591486,1.0199974962001284,2726584.0019456344,0.03885646792657375
SYNTH_K30_n100k,100000,5,3,B,1e-07,Double,0.2729837894439697,0.20209722111850553,1000.0,1.0199867736160637,2.4,2726584.3450393174,0.0
SYNTH_K30_n100k,100000,5,3,B,1e-07,AdaptiveHybrid,114.0,0.4378015995025635,3.5999999999999996,0.2020898647271451,1.0199947841924573,2726588.5500897644,0.015437595993212214
SYNTH_K30_n100k,100000,5,3,B,1e-07,Double,0.33864355087280273,0.2020898647271451,1000.0,1.0199947841924573,2.4,2726584.1634072214,0.0
SYNTH_K30_n100k,100000,5,3,B,1e-07,AdaptiveHybrid,74.0,0.27048707008361816,3.5999999999999996,0.20207038921591486,1.0199974962001284,2726584.0493970825,0.007580233808090361
SYNTH_K30_n100k,100000,5,3,B,1e-09,Double,0.30869579315185547,0.20207053806031572,1000.0,1.0199914927064144,2.4,2726584.251054165,0.0
SYNTH_K30_n100k,100000,5,3,B,1e-09,AdaptiveHybrid,58.0,0.29551029205322266,3.5999999999999996,0.20206556532807932,1.0200015554500181,2726584.0406921487,0.025886495214915706
SYNTH_K30_n100k,100000,5,3,B,1e-09,Double,0.2836484909057617,0.20207053806031572,1000.0,1.0199914927064144,2.4,2726584.3523553247,0.0
SYNTH_K30_n100k,100000,5,3,B,1e-09,AdaptiveHybrid,303.0,0.8733510971069336,3.5999999999999996,0.2020680790577374,1.0199960745490675,2726584.916874916,0.009307313146526894
SYNTH_K30_n100k,100000,5,3,B,1e-09,Double,0.49715304374694824,0.20207290312944437,1000.0,1.0199920155146933,2.4,2726584.6353201545,0.0
SYNTH_K30_n100k,100000,5,3,B,1e-09,AdaptiveHybrid,334.0,1.3686308860778809,3.5999999999999996,0.2020680790577374,1.0199960745490675,2726584.601973661,0.05420064564238289
SYNTH_K30_n100k,100000,5,3,A,100.0,Double,300.0,0.41277623176574707,0.20215883815207397,1.0200269968848061,2.4,2726590.0533737186,0.0
SYNTH_K30_n100k,100000,5,3,A,100.0,AdaptiveHybrid,123.0,0.42322254180908203,3.5999999999999996,0.20207038921591486,1.0199974962001284,2726583.9351885114,0.0021746550287816474
SYNTH_K30_n100k,100000,5,3,A,100.0,Double,300.0,0.42284178733825684,0.20207290312944437,1.0199920155146933,2.4,2726597.5142371515,0.0
SYNTH_K30_n100k,100000,5,3,A,100.0,AdaptiveHybrid,64.0,0.2603597640991211,3.5999999999999996,0.20207234270719612,1.0200083966346931,2726584.024114089,0.023235990435175168
SYNTH_K30_n100k,100000,5,3,A,100.0,Double,300.0,0.3604261875152588,0.20208278586761114,1.0199944881117449,2.4,2726585.2376301605,0.0
SYNTH_K30_n100k,100000,5,3,A,100.0,AdaptiveHybrid,82.0,0.30657029151916504,3.5999999999999996,0.20207290312944437,1.0199920155146933,2726584.876510272,0.029728478984012936
SYNTH_K30_n100k,100000,5,3,B,0.1,Double,0.43403100967407227,0.20207038921591486,1000.0,1.0199974962001284,2.4,2726584.8232499952,0.0
SYNTH_K30_n100k,100000,5,3,B,0.1,AdaptiveHybrid,81.0,0.3114593029022217,3.5999999999999996,0.20207053806031572,1.0199914927064144,2726584.5240313276,0.5116726493990782
