dataset,repeat,approach,penalty,alpha,lambda,solver,max_iter,max_iter_single,tol,time_sec,iters_single,iters_double,roc_auc,pr_auc,logloss
,0,single(f32),l2,0.0,0.01,coord,1000,200,0.01,0.044685639906674623,41,,1.0,1.0,0.5042447447934734
,0,double(f64),l2,0.0,0.01,coord,1000,200,0.01,0.04009867401327938,0,41.0,1.0,1.0,0.5042447640224222
,0,hybrid(f32→f64),l2,0.0,0.01,coord,1000,200,0.01,0.0711521259509027,41,1.0,1.0,1.0,0.5042263628597099
,0,single(f32),l2,0.0,0.01,coord,1000,300,0.01,0.04511001904029399,41,,1.0,1.0,0.5042447447934734
,0,double(f64),l2,0.0,0.01,coord,1000,300,0.01,0.0754050820833072,0,41.0,1.0,1.0,0.5042447640224222
,0,hybrid(f32→f64),l2,0.0,0.01,coord,1000,300,0.01,0.07335285597946495,41,1.0,1.0,1.0,0.5042263628597099
,0,single(f32),l2,0.0,0.01,coord,1000,200,0.0001,0.2029324210016057,1000,,1.0,1.0,0.5034592501307947
,0,double(f64),l2,0.0,0.01,coord,1000,200,0.0001,0.20498510403558612,0,1000.0,1.0,1.0,0.5034592356011475
,0,hybrid(f32→f64),l2,0.0,0.01,coord,1000,200,0.0001,0.2653966679936275,200,1000.0,1.0,1.0,0.5034285443481653
,0,single(f32),l2,0.0,0.01,coord,1000,300,0.0001,0.17356144601944834,1000,,1.0,1.0,0.5034592501307947
,0,double(f64),l2,0.0,0.01,coord,1000,300,0.0001,0.20618490397464484,0,1000.0,1.0,1.0,0.5034592356011475
,0,hybrid(f32→f64),l2,0.0,0.01,coord,1000,300,0.0001,0.2773514949949458,300,1000.0,1.0,1.0,0.5034895563441918
,0,single(f32),l2,0.0,0.01,sparse_cg,1000,200,0.01,0.014405103982426226,1,,1.0,1.0,0.5034977911713082
,0,double(f64),l2,0.0,0.01,sparse_cg,1000,200,0.01,0.01849821803625673,0,1.0,1.0,1.0,0.5034978485250227
,0,hybrid(f32→f64),l2,0.0,0.01,sparse_cg,1000,200,0.01,0.03550672100391239,1,0.0,1.0,1.0,0.5034977911713082
