dataset,repeat,approach,penalty,alpha,lambda,solver,max_iter,max_iter_single,tol,time_sec,iters_single,iters_double,roc_auc,pr_auc,logloss
susy,0,single(f32),l2,0.0,0.01,lbfgs,10000,50,0.01,0.7226650109514594,9,,0.8523137480701103,0.8552551309812282,0.46862252848795566
susy,0,double(f64),l2,0.0,0.01,lbfgs,10000,50,0.01,5.373341626953334,0,103.0,0.8571777369508503,0.8607771005111804,0.45946242352080446
susy,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,50,0.01,5.048291494138539,9,83.0,0.8571669904488614,0.8607902498026156,0.45945817050943494
susy,0,single(f32),l2,0.0,0.01,lbfgs,10000,100,0.01,0.4616338920313865,9,,0.8523137480701103,0.8552551309812282,0.46862252848795566
susy,0,double(f64),l2,0.0,0.01,lbfgs,10000,100,0.01,5.2253627420868725,0,103.0,0.8571777369508503,0.8607771005111804,0.45946242352080446
susy,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,100,0.01,4.637014531996101,9,83.0,0.8571669904488614,0.8607902498026156,0.45945817050943494
susy,0,single(f32),l2,0.0,0.01,lbfgs,10000,250,0.01,0.4153422999661416,9,,0.8523137480701103,0.8552551309812282,0.46862252848795566
susy,0,double(f64),l2,0.0,0.01,lbfgs,10000,250,0.01,5.239899634150788,0,103.0,0.8571777369508503,0.8607771005111804,0.45946242352080446
susy,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,250,0.01,4.659132085042074,9,83.0,0.8571669904488614,0.8607902498026156,0.45945817050943494
susy,0,single(f32),l2,0.0,0.01,lbfgs,10000,500,0.01,0.5226599040906876,9,,0.8523137480701103,0.8552551309812282,0.46862252848795566
susy,0,double(f64),l2,0.0,0.01,lbfgs,10000,500,0.01,5.243407116970047,0,103.0,0.8571777369508503,0.8607771005111804,0.45946242352080446
susy,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,500,0.01,4.66817931109108,9,83.0,0.8571669904488614,0.8607902498026156,0.45945817050943494
susy,0,single(f32),l2,0.0,0.01,lbfgs,10000,1000,0.01,0.4085711860097945,9,,0.8523137480701103,0.8552551309812282,0.46862252848795566
susy,0,double(f64),l2,0.0,0.01,lbfgs,10000,1000,0.01,5.339505468960851,0,103.0,0.8571777369508503,0.8607771005111804,0.45946242352080446
susy,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,1000,0.01,5.627604676177725,9,83.0,0.8571669904488614,0.8607902498026156,0.45945817050943494
susy,0,single(f32),l2,0.0,0.01,lbfgs,10000,3000,0.01,0.4418727729935199,9,,0.8523137480701103,0.8552551309812282,0.46862252848795566
susy,0,double(f64),l2,0.0,0.01,lbfgs,10000,3000,0.01,5.245263818884268,0,103.0,0.8571777369508503,0.8607771005111804,0.45946242352080446
susy,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,3000,0.01,4.59343709400855,9,83.0,0.8571669904488614,0.8607902498026156,0.45945817050943494
susy,0,single(f32),l2,0.0,0.01,lbfgs,10000,5000,0.01,0.4109878570307046,9,,0.8523137480701103,0.8552551309812282,0.46862252848795566
susy,0,double(f64),l2,0.0,0.01,lbfgs,10000,5000,0.01,5.200282605132088,0,103.0,0.8571777369508503,0.8607771005111804,0.45946242352080446
