DatasetName,DatasetSize,NumClasses,Tolerance,Cap,iter_single,iter_double,Suite,Time,Memory_MB,Accuracy
SYNTH_C_5_F_50_n100k,1000000,5,0.0001,0,0,20,Double,57.353833200992085,6.4296875,1.0
SYNTH_C_5_F_50_n100k,1000000,5,0.0001,0,0,5,Hybrid,16.433379756985232,0.0,1.0
SYNTH_C_5_F_50_n100k,1000000,5,0.0001,1,0,20,Double,57.91275686601875,0.0,1.0
SYNTH_C_5_F_50_n100k,1000000,5,0.0001,1,1,5,Hybrid,16.490556561009726,0.0,1.0
SYNTH_C_5_F_50_n100k,1000000,5,0.0001,2,0,20,Double,58.351173438015394,0.0,1.0
SYNTH_C_5_F_50_n100k,1000000,5,0.0001,2,2,5,Hybrid,16.539650037011597,0.0,1.0
SYNTH_C_5_F_50_n100k,1000000,5,0.0001,5,0,20,Double,57.8247048019839,6.125,1.0
SYNTH_C_5_F_50_n100k,1000000,5,0.0001,5,5,5,Hybrid,16.320732881024014,0.0,1.0
SYNTH_C_5_F_50_n100k,1000000,5,0.0001,10,0,20,Double,57.000232670019614,0.0,1.0
SYNTH_C_5_F_50_n100k,1000000,5,0.0001,10,10,5,Hybrid,16.439058554999065,0.0,1.0
