Kernel,Mode,Cap_Original,Tolerance,Accuracy,F1,Time,Iter_Single,Iter_Double,Cap
linear,Double,0,1e-16,0.5695,0.5678103566009199,0.08085012435913086,0,[300],0
linear,Hybrid,0,1e-16,0.5695,0.5678103566009199,0.09651064872741699,[0],[300],0
linear,Double,0,1e-16,0.5695,0.5678103566009199,0.08676648139953613,0,[300],50
linear,Hybrid,50,1e-16,0.403,0.40303223916060976,0.0980534553527832,[50],[250],50
linear,Double,0,1e-16,0.5695,0.5678103566009199,0.10133790969848633,0,[300],100
linear,Hybrid,100,1e-16,0.6855,0.6832856195168174,0.11153507232666016,[100],[200],100
linear,Double,0,1e-16,0.5695,0.5678103566009199,0.14151215553283691,0,[300],150
linear,Hybrid,150,1e-16,0.528,0.5223079317216318,0.10162663459777832,[150],[150],150
linear,Double,0,1e-16,0.5695,0.5678103566009199,0.09742355346679688,0,[300],200
linear,Hybrid,200,1e-16,0.438,0.43757494054878204,0.11397910118103027,[200],[100],200
linear,Double,0,1e-16,0.5695,0.5678103566009199,0.10074758529663086,0,[300],250
linear,Hybrid,250,1e-16,0.298,0.2969418545567158,0.09433197975158691,[250],[50],250
linear,Double,0,1e-16,0.5695,0.5678103566009199,0.08833718299865723,0,[300],300
linear,Hybrid,300,1e-16,0.6535,0.6368334796362853,0.08457827568054199,[300],[1],300
rbf,Double,0,1e-16,0.6575,0.6551978548669479,0.1678297519683838,0,[300],0
rbf,Hybrid,0,1e-16,0.6575,0.6551978548669479,0.22099852561950684,[0],[300],0
rbf,Double,0,1e-16,0.6575,0.6551978548669479,0.17166614532470703,0,[300],50
rbf,Hybrid,50,1e-16,0.7295,0.7294933033018239,0.19946575164794922,[50],[250],50
rbf,Double,0,1e-16,0.6575,0.6551978548669479,0.17193818092346191,0,[300],100
rbf,Hybrid,100,1e-16,0.735,0.7347682674134617,0.18724536895751953,[100],[200],100
rbf,Double,0,1e-16,0.6575,0.6551978548669479,0.1994624137878418,0,[300],150
rbf,Hybrid,150,1e-16,0.625,0.6221904245916922,0.2118549346923828,[150],[150],150
rbf,Double,0,1e-16,0.6575,0.6551978548669479,0.19238495826721191,0,[300],200
rbf,Hybrid,200,1e-16,0.648,0.6449777777777779,0.1697556972503662,[200],[100],200
rbf,Double,0,1e-16,0.6575,0.6551978548669479,0.19226765632629395,0,[300],250
rbf,Hybrid,250,1e-16,0.6435,0.639986141564156,0.19204425811767578,[250],[50],250
rbf,Double,0,1e-16,0.6575,0.6551978548669479,0.17655634880065918,0,[300],300
rbf,Hybrid,300,1e-16,0.6805,0.6800309982760223,0.1735985279083252,[300],[1],300
