Kernel,Mode,Cap,Tolerance_Original,Accuracy,F1,Time,Iter_Single,Iter_Double,Tolerance
linear,Double,0,0.1,0.438,0.43757494054878204,0.037668704986572266,0,[100],0.1
linear,Hybrid,100,0.1,0.6535,0.6368334796362853,0.04086899757385254,[100],[1],0.1
linear,Double,0,0.01,0.438,0.43757494054878204,0.036360979080200195,0,[100],0.01
linear,Hybrid,100,0.01,0.6535,0.6368334796362853,0.04126477241516113,[100],[1],0.01
linear,Double,0,0.001,0.438,0.43757494054878204,0.034531354904174805,0,[100],0.001
linear,Hybrid,100,0.001,0.6535,0.6368334796362853,0.04131603240966797,[100],[1],0.001
linear,Double,0,0.0001,0.438,0.43757494054878204,0.044916629791259766,0,[100],0.0001
linear,Hybrid,100,0.0001,0.6535,0.6368334796362853,0.0414731502532959,[100],[1],0.0001
rbf,Double,0,0.1,0.648,0.6449777777777779,0.06932950019836426,0,[100],0.1
rbf,Hybrid,100,0.1,0.6805,0.6800309982760223,0.06624507904052734,[100],[1],0.1
rbf,Double,0,0.01,0.648,0.6449777777777779,0.06099820137023926,0,[100],0.01
rbf,Hybrid,100,0.01,0.6805,0.6800309982760223,0.06913495063781738,[100],[1],0.01
rbf,Double,0,0.001,0.648,0.6449777777777779,0.05846905708312988,0,[100],0.001
rbf,Hybrid,100,0.001,0.6805,0.6800309982760223,0.06496763229370117,[100],[1],0.001
rbf,Double,0,0.0001,0.648,0.6449777777777779,0.06168770790100098,0,[100],0.0001
rbf,Hybrid,100,0.0001,0.6805,0.6800309982760223,0.07572817802429199,[100],[1],0.0001
