dataset,repeat,approach,penalty,alpha,lambda,solver,max_iter,max_iter_single,tol,time_sec,iters_single,iters_double,roc_auc,pr_auc,logloss
uniform,0,single(f32),l2,0.0,0.01,lbfgs,10000,50,0.01,3.021377955097705,26,,1.0,1.0,3.179962826256359e-08
uniform,0,double(f64),l2,0.0,0.01,lbfgs,10000,50,0.01,4.419125863118097,0,27.0,1.0,1.0,2.1680539117556258e-08
uniform,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,50,0.01,3.8116720160469413,26,0.0,1.0,1.0,3.179962826256359e-08
uniform,0,single(f32),l2,0.0,0.01,lbfgs,10000,100,0.01,3.511943204095587,26,,1.0,1.0,3.179962826256359e-08
uniform,0,double(f64),l2,0.0,0.01,lbfgs,10000,100,0.01,4.395441476022825,0,27.0,1.0,1.0,2.1680539117556258e-08
uniform,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,100,0.01,3.737807279918343,26,0.0,1.0,1.0,3.179962826256359e-08
uniform,0,single(f32),l2,0.0,0.01,lbfgs,10000,250,0.01,3.458099361974746,26,,1.0,1.0,3.179962826256359e-08
uniform,0,double(f64),l2,0.0,0.01,lbfgs,10000,250,0.01,4.429533542133868,0,27.0,1.0,1.0,2.1680539117556258e-08
uniform,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,250,0.01,4.208974604029208,26,0.0,1.0,1.0,3.179962826256359e-08
uniform,0,single(f32),l2,0.0,0.01,lbfgs,10000,500,0.01,2.9164840849116445,26,,1.0,1.0,3.179962826256359e-08
uniform,0,double(f64),l2,0.0,0.01,lbfgs,10000,500,0.01,4.446924053831026,0,27.0,1.0,1.0,2.1680539117556258e-08
uniform,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,500,0.01,3.6751874659676105,26,0.0,1.0,1.0,3.179962826256359e-08
uniform,0,single(f32),l2,0.0,0.01,lbfgs,10000,1000,0.01,2.8906873119995,26,,1.0,1.0,3.179962826256359e-08
uniform,0,double(f64),l2,0.0,0.01,lbfgs,10000,1000,0.01,4.358944081934169,0,27.0,1.0,1.0,2.1680539117556258e-08
uniform,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,1000,0.01,3.6579425500240177,26,0.0,1.0,1.0,3.179962826256359e-08
uniform,0,single(f32),l2,0.0,0.01,lbfgs,10000,3000,0.01,3.032684891950339,26,,1.0,1.0,3.179962826256359e-08
uniform,0,double(f64),l2,0.0,0.01,lbfgs,10000,3000,0.01,4.19197907904163,0,27.0,1.0,1.0,2.1680539117556258e-08
uniform,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,3000,0.01,3.627651043003425,26,0.0,1.0,1.0,3.179962826256359e-08
uniform,0,single(f32),l2,0.0,0.01,lbfgs,10000,5000,0.01,3.0221390170045197,26,,1.0,1.0,3.179962826256359e-08
uniform,0,double(f64),l2,0.0,0.01,lbfgs,10000,5000,0.01,4.394631152041256,0,27.0,1.0,1.0,2.1680539117556258e-08
uniform,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,5000,0.01,3.6021264779847115,26,0.0,1.0,1.0,3.179962826256359e-08
uniform,0,single(f32),l2,0.0,0.01,lbfgs,10000,50,0.001,3.638018839992583,27,,1.0,0.9999999999999998,3.1799905147148965e-08
