approach,penalty,alpha,lambda,solver,max_iter,tol,time_sec,iters,roc_auc,pr_auc,logloss,loss_internal
double(f64),l2,0.0,0.1,lbfgs,3000,0.0001,0.025938979000784457,15,1.0,1.0,1.1026087055630533e-05,0.20967608932060294
double(f64),l2,0.0,0.01,lbfgs,3000,0.0001,0.027352920034900308,17,1.0,1.0,1.540840401587927e-06,0.02993995657063142
double(f64),l2,0.0,0.1,lbfgs,3000,0.0001,0.028096243040636182,15,1.0,1.0,1.1026087055630533e-05,0.20967608932060294
double(f64),l2,0.0,0.001,lbfgs,3000,0.0001,0.02879037894308567,16,1.0,1.0,2.562005320604511e-07,0.004115609154790378
double(f64),l2,0.0,0.001,lbfgs,10000,0.0001,0.028857084922492504,16,1.0,1.0,2.562005320604511e-07,0.004115609154790378
double(f64),l2,0.0,0.01,lbfgs,10000,0.0001,0.03066687297541648,17,1.0,1.0,1.540840401587927e-06,0.02993995657063142
double(f64),l2,0.0,0.01,lbfgs,10000,0.0001,0.031966430018655956,17,1.0,1.0,1.540840401587927e-06,0.02993995657063142
double(f64),l2,0.0,0.01,lbfgs,10000,1e-06,0.032519252970814705,20,1.0,1.0,1.5635744548379731e-06,0.02993882863889531
double(f64),l2,0.0,0.001,lbfgs,3000,1e-06,0.03277387993875891,22,1.0,1.0,2.346017226620846e-07,0.004102221294698203
double(f64),l2,0.0,0.001,lbfgs,3000,1e-06,0.0335436750901863,22,1.0,1.0,2.346017226620846e-07,0.004102221294698203
double(f64),l2,0.0,0.1,lbfgs,10000,0.0001,0.04429961508139968,15,1.0,1.0,1.1026087055630533e-05,0.20967608932060294
double(f64),l2,0.0,0.001,lbfgs,10000,1e-06,0.0520688759861514,22,1.0,1.0,2.346017226620846e-07,0.004102221294698203
double(f64),l2,0.0,0.001,lbfgs,3000,0.0001,0.05429133400321007,16,1.0,1.0,2.562005320604511e-07,0.004115609154790378
double(f64),l2,0.0,0.1,lbfgs,10000,0.0001,0.05617759900633246,15,1.0,1.0,1.1026087055630533e-05,0.20967608932060294
double(f64),l2,0.0,0.01,lbfgs,3000,0.0001,0.05627502303104848,17,1.0,1.0,1.540840401587927e-06,0.02993995657063142
double(f64),l2,0.0,0.1,lbfgs,10000,1e-06,0.05804988706950098,18,1.0,1.0,1.102578926832023e-05,0.20967535798547957
double(f64),l2,0.0,0.1,lbfgs,10000,1e-06,0.06090759008657187,18,1.0,1.0,1.102578926832023e-05,0.20967535798547957
double(f64),l2,0.0,0.01,lbfgs,10000,1e-06,0.06194910709746182,20,1.0,1.0,1.5635744548379731e-06,0.02993882863889531
double(f64),l2,0.0,0.01,lbfgs,3000,1e-06,0.06298798299394548,20,1.0,1.0,1.5635744548379731e-06,0.02993882863889531
double(f64),l2,0.0,0.001,lbfgs,10000,1e-06,0.06912549096159637,22,1.0,1.0,2.346017226620846e-07,0.004102221294698203
double(f64),l2,0.0,0.001,lbfgs,10000,0.0001,0.07304943597409874,16,1.0,1.0,2.562005320604511e-07,0.004115609154790378
double(f64),l2,0.0,0.01,lbfgs,3000,1e-06,0.07595317694358528,20,1.0,1.0,1.5635744548379731e-06,0.02993882863889531
double(f64),l2,0.0,0.1,lbfgs,3000,1e-06,0.0792672400129959,18,1.0,1.0,1.102578926832023e-05,0.20967535798547957
double(f64),l2,0.0,0.1,lbfgs,3000,1e-06,0.082710443995893,18,1.0,1.0,1.102578926832023e-05,0.20967535798547957
hybrid(f32→f64),l2,0.0,0.001,lbfgs,3000,0.0001,0.035889953025616705,1,1.0,1.0,1.6069747171035054e-07,0.004139581053107533
hybrid(f32→f64),l2,0.0,0.1,lbfgs,3000,0.0001,0.03593018697574735,5,1.0,1.0,1.101852446202145e-05,0.20967548023990162
hybrid(f32→f64),l2,0.0,0.01,lbfgs,3000,0.0001,0.036561518907547,5,1.0,1.0,1.569269861654361e-06,0.02994004835902006
hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,0.0001,0.037066149059683084,5,1.0,1.0,1.569269861654361e-06,0.02994004835902006
hybrid(f32→f64),l2,0.0,0.001,lbfgs,3000,0.0001,0.03777334000915289,1,1.0,1.0,1.6069747171035054e-07,0.004139581053107533
hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,0.0001,0.0380196439800784,5,1.0,1.0,1.569269861654361e-06,0.02994004835902006
hybrid(f32→f64),l2,0.0,0.001,lbfgs,3000,1e-06,0.040509085985831916,8,1.0,1.0,2.34947836943226e-07,0.004102217754476702
hybrid(f32→f64),l2,0.0,0.001,lbfgs,10000,1e-06,0.04178838606458157,8,1.0,1.0,2.34947836943226e-07,0.004102217754476702
hybrid(f32→f64),l2,0.0,0.1,lbfgs,10000,1e-06,0.047808304079808295,7,1.0,1.0,1.102628513003563e-05,0.20967535304430063
hybrid(f32→f64),l2,0.0,0.001,lbfgs,10000,0.0001,0.05000285292044282,1,1.0,1.0,1.6069747171035054e-07,0.004139581053107533
hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,1e-06,0.059435351053252816,8,1.0,1.0,1.561993593548436e-06,0.029938821311678958
hybrid(f32→f64),l2,0.0,0.001,lbfgs,3000,1e-06,0.06779143598396331,8,1.0,1.0,2.34947836943226e-07,0.004102217754476702
