dataset,repeat,mode,kernel,C,gamma,tol_single,tol_double,buffer_frac,tol_schedule,final_tol,min_rel_drop,error
gauss,1,single,rbf,1.0,scale,0.001,1e-05,0.05,"(0.02, 0.005, 0.001)",1e-05,0.05,_svc() got an unexpected keyword argument 'verbose'
gauss,1,double,rbf,1.0,scale,0.001,1e-05,0.05,"(0.02, 0.005, 0.001)",1e-05,0.05,_svc() got an unexpected keyword argument 'verbose'
gauss,1,hybrid,rbf,1.0,scale,0.001,1e-05,0.05,"(0.02, 0.005, 0.001)",1e-05,0.05,_svc() got an unexpected keyword argument 'verbose'
gauss,1,adaptive,rbf,1.0,scale,0.001,1e-05,0.05,"(0.02, 0.005, 0.001)",1e-05,0.05,_svc() got an unexpected keyword argument 'verbose'
gauss,2,single,rbf,1.0,scale,0.001,1e-05,0.05,"(0.02, 0.005, 0.001)",1e-05,0.05,_svc() got an unexpected keyword argument 'verbose'
gauss,2,double,rbf,1.0,scale,0.001,1e-05,0.05,"(0.02, 0.005, 0.001)",1e-05,0.05,_svc() got an unexpected keyword argument 'verbose'
gauss,2,hybrid,rbf,1.0,scale,0.001,1e-05,0.05,"(0.02, 0.005, 0.001)",1e-05,0.05,_svc() got an unexpected keyword argument 'verbose'
gauss,2,adaptive,rbf,1.0,scale,0.001,1e-05,0.05,"(0.02, 0.005, 0.001)",1e-05,0.05,_svc() got an unexpected keyword argument 'verbose'
gauss,3,single,rbf,1.0,scale,0.001,1e-05,0.05,"(0.02, 0.005, 0.001)",1e-05,0.05,_svc() got an unexpected keyword argument 'verbose'
gauss,3,double,rbf,1.0,scale,0.001,1e-05,0.05,"(0.02, 0.005, 0.001)",1e-05,0.05,_svc() got an unexpected keyword argument 'verbose'
gauss,3,hybrid,rbf,1.0,scale,0.001,1e-05,0.05,"(0.02, 0.005, 0.001)",1e-05,0.05,_svc() got an unexpected keyword argument 'verbose'
gauss,3,adaptive,rbf,1.0,scale,0.001,1e-05,0.05,"(0.02, 0.005, 0.001)",1e-05,0.05,_svc() got an unexpected keyword argument 'verbose'
gauss,1,single,rbf,4.0,scale,0.001,1e-05,0.05,"(0.02, 0.005, 0.001)",1e-05,0.05,_svc() got an unexpected keyword argument 'verbose'
gauss,1,double,rbf,4.0,scale,0.001,1e-05,0.05,"(0.02, 0.005, 0.001)",1e-05,0.05,_svc() got an unexpected keyword argument 'verbose'
gauss,1,hybrid,rbf,4.0,scale,0.001,1e-05,0.05,"(0.02, 0.005, 0.001)",1e-05,0.05,_svc() got an unexpected keyword argument 'verbose'
gauss,1,adaptive,rbf,4.0,scale,0.001,1e-05,0.05,"(0.02, 0.005, 0.001)",1e-05,0.05,_svc() got an unexpected keyword argument 'verbose'
gauss,2,single,rbf,4.0,scale,0.001,1e-05,0.05,"(0.02, 0.005, 0.001)",1e-05,0.05,_svc() got an unexpected keyword argument 'verbose'
gauss,2,double,rbf,4.0,scale,0.001,1e-05,0.05,"(0.02, 0.005, 0.001)",1e-05,0.05,_svc() got an unexpected keyword argument 'verbose'
gauss,2,hybrid,rbf,4.0,scale,0.001,1e-05,0.05,"(0.02, 0.005, 0.001)",1e-05,0.05,_svc() got an unexpected keyword argument 'verbose'
gauss,2,adaptive,rbf,4.0,scale,0.001,1e-05,0.05,"(0.02, 0.005, 0.001)",1e-05,0.05,_svc() got an unexpected keyword argument 'verbose'
gauss,3,single,rbf,4.0,scale,0.001,1e-05,0.05,"(0.02, 0.005, 0.001)",1e-05,0.05,_svc() got an unexpected keyword argument 'verbose'
gauss,3,double,rbf,4.0,scale,0.001,1e-05,0.05,"(0.02, 0.005, 0.001)",1e-05,0.05,_svc() got an unexpected keyword argument 'verbose'
gauss,3,hybrid,rbf,4.0,scale,0.001,1e-05,0.05,"(0.02, 0.005, 0.001)",1e-05,0.05,_svc() got an unexpected keyword argument 'verbose'
gauss,3,adaptive,rbf,4.0,scale,0.001,1e-05,0.05,"(0.02, 0.005, 0.001)",1e-05,0.05,_svc() got an unexpected keyword argument 'verbose'
